time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	2.000000e+00	2.000000e+00
1.999999943436137e-09	2.000000e+00	2.000000e+00
3.999999886872274e-09	2.000000e+00	2.000000e+00
7.999999773744548e-09	2.000000e+00	2.000000e+00
1.599999954748910e-08	2.000000e+00	2.000000e+00
3.199999909497819e-08	2.000000e+00	2.000000e+00
6.399999818995639e-08	2.000000e+00	2.000000e+00
1.279999963799128e-07	2.000000e+00	1.999999e+00
2.559999927598255e-07	2.000000e+00	1.999999e+00
5.119999855196511e-07	2.000000e+00	1.999998e+00
1.023999971039302e-06	2.000000e+00	1.999996e+00
2.047999942078604e-06	2.000000e+00	1.999991e+00
4.095999884157209e-06	2.000000e+00	1.999983e+00
8.191999768314417e-06	2.000000e+00	1.999965e+00
1.638399953662883e-05	2.000000e+00	1.999930e+00
3.276799907325767e-05	2.000000e+00	1.999861e+00
6.553599814651534e-05	2.000000e+00	1.999721e+00
1.310719962930307e-04	2.000000e+00	1.999442e+00
2.621439925860614e-04	2.000000e+00	1.998885e+00
5.242879851721227e-04	2.000000e+00	1.997770e+00
1.012569235172123e-03	2.000000e+00	1.995696e+00
1.500850485172123e-03	2.000000e+00	1.993624e+00
1.989131735172123e-03	2.000000e+00	1.991554e+00
2.454635984369979e-03	2.000000e+00	1.989582e+00
2.633135176747888e-03	2.000000e+00	1.988827e+00
2.866688950635488e-03	2.000000e+00	1.987839e+00
3.245053452221153e-03	2.000000e+00	1.986239e+00
3.733334702221153e-03	2.000000e+00	1.984176e+00
4.221615952221152e-03	2.000000e+00	1.982116e+00
4.709897202221152e-03	2.000000e+00	1.980058e+00
5.000001000000000e-03	2.000000e+00	1.978836e+00
5.000002000000001e-03	0.000000e+00	-2.116383e-02
5.000018000000006e-03	0.000000e+00	-2.116383e-02
5.000050000000017e-03	0.000000e+00	-2.116383e-02
5.000114000000039e-03	0.000000e+00	-2.116382e-02
5.000242000000083e-03	0.000000e+00	-2.116382e-02
5.000498000000170e-03	0.000000e+00	-2.116381e-02
5.001010000000345e-03	0.000000e+00	-2.116379e-02
5.002034000000694e-03	0.000000e+00	-2.116374e-02
5.004082000001392e-03	0.000000e+00	-2.116365e-02
5.008178000002789e-03	0.000000e+00	-2.116346e-02
5.016370000005582e-03	0.000000e+00	-2.116309e-02
5.032754000011169e-03	0.000000e+00	-2.116236e-02
5.065522000022343e-03	0.000000e+00	-2.116088e-02
5.131058000044692e-03	0.000000e+00	-2.115793e-02
5.262130000089388e-03	0.000000e+00	-2.115203e-02
5.524274000178781e-03	0.000000e+00	-2.114024e-02
6.012555250178781e-03	0.000000e+00	-2.111829e-02
6.500836500178781e-03	0.000000e+00	-2.109636e-02
6.989117750178781e-03	0.000000e+00	-2.107445e-02
7.454630337589998e-03	0.000000e+00	-2.105359e-02
7.633133076503096e-03	0.000000e+00	-2.104559e-02
7.866685535382265e-03	0.000000e+00	-2.103514e-02
8.245047947803534e-03	0.000000e+00	-2.101821e-02
8.733329197803534e-03	0.000000e+00	-2.099639e-02
9.221610447803534e-03	0.000000e+00	-2.097459e-02
9.709891697803534e-03	0.000000e+00	-2.095281e-02
1.000000000000000e-02	0.000000e+00	-2.093988e-02
1.000000100000000e-02	2.000000e+00	1.979060e+00
1.000001699999999e-02	2.000000e+00	1.979060e+00
1.000004899999997e-02	2.000000e+00	1.979060e+00
1.000011299999994e-02	2.000000e+00	1.979060e+00
1.000024099999987e-02	2.000000e+00	1.979059e+00
1.000049699999974e-02	2.000000e+00	1.979058e+00
1.000100899999947e-02	2.000000e+00	1.979056e+00
1.000203299999893e-02	2.000000e+00	1.979052e+00
1.000408099999785e-02	2.000000e+00	1.979043e+00
1.000817699999570e-02	2.000000e+00	1.979026e+00
1.001636899999138e-02	2.000000e+00	1.978991e+00
