Vds	V(vds)	V(vgs)	Id(M1)
Step Information: Vgs=2.5  (Step: 1/3)
0.000000000000000e+00	0.000000e+00	2.500000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	2.500000e+00	2.533756e-06
2.000000000000000e-01	2.000000e-01	2.500000e+00	4.486526e-06
3.000000000000000e-01	3.000000e-01	2.500000e+00	5.878548e-06
4.000000000000000e-01	4.000000e-01	2.500000e+00	6.738820e-06
5.000000000000000e-01	5.000000e-01	2.500000e+00	7.146457e-06
6.000000000000001e-01	6.000000e-01	2.500000e+00	7.303019e-06
7.000000000000001e-01	7.000000e-01	2.500000e+00	7.388154e-06
8.000000000000000e-01	8.000000e-01	2.500000e+00	7.455115e-06
9.000000000000000e-01	9.000000e-01	2.500000e+00	7.514578e-06
1.000000000000000e+00	1.000000e+00	2.500000e+00	7.569425e-06
1.100000000000000e+00	1.100000e+00	2.500000e+00	7.620820e-06
1.200000000000000e+00	1.200000e+00	2.500000e+00	7.669402e-06
1.300000000000000e+00	1.300000e+00	2.500000e+00	7.715602e-06
1.400000000000000e+00	1.400000e+00	2.500000e+00	7.759737e-06
1.500000000000000e+00	1.500000e+00	2.500000e+00	7.802058e-06
1.600000000000000e+00	1.600000e+00	2.500000e+00	7.842776e-06
1.700000000000000e+00	1.700000e+00	2.500000e+00	7.882061e-06
1.800000000000000e+00	1.800000e+00	2.500000e+00	7.920064e-06
1.900000000000000e+00	1.900000e+00	2.500000e+00	7.956909e-06
2.000000000000000e+00	2.000000e+00	2.500000e+00	7.992710e-06
2.100000000000000e+00	2.100000e+00	2.500000e+00	8.027562e-06
2.200000000000000e+00	2.200000e+00	2.500000e+00	8.061551e-06
2.300000000000000e+00	2.300000e+00	2.500000e+00	8.094750e-06
2.400000000000000e+00	2.400000e+00	2.500000e+00	8.127227e-06
2.500000000000000e+00	2.500000e+00	2.500000e+00	8.159041e-06
2.600000000000000e+00	2.600000e+00	2.500000e+00	8.190245e-06
2.700000000000000e+00	2.700000e+00	2.500000e+00	8.220887e-06
2.800000000000000e+00	2.800000e+00	2.500000e+00	8.251008e-06
2.900000000000000e+00	2.900000e+00	2.500000e+00	8.280647e-06
3.000000000000000e+00	3.000000e+00	2.500000e+00	8.309840e-06
3.100000000000000e+00	3.100000e+00	2.500000e+00	8.338618e-06
3.200000000000000e+00	3.200000e+00	2.500000e+00	8.367008e-06
3.300000000000000e+00	3.300000e+00	2.500000e+00	8.395038e-06
3.400000000000000e+00	3.400000e+00	2.500000e+00	8.422732e-06
3.500000000000000e+00	3.500000e+00	2.500000e+00	8.450111e-06
3.600000000000000e+00	3.600000e+00	2.500000e+00	8.477194e-06
3.700000000000000e+00	3.700000e+00	2.500000e+00	8.504001e-06
3.800000000000000e+00	3.800000e+00	2.500000e+00	8.530548e-06
3.900000000000000e+00	3.900000e+00	2.500000e+00	8.556852e-06
4.000000000000000e+00	4.000000e+00	2.500000e+00	8.582926e-06
4.100000000000001e+00	4.100000e+00	2.500000e+00	8.608783e-06
4.200000000000000e+00	4.200000e+00	2.500000e+00	8.634436e-06
4.300000000000000e+00	4.300000e+00	2.500000e+00	8.659897e-06
4.400000000000000e+00	4.400000e+00	2.500000e+00	8.685174e-06
4.500000000000000e+00	4.500000e+00	2.500000e+00	8.710280e-06
4.600000000000001e+00	4.600000e+00	2.500000e+00	8.735223e-06
4.700000000000000e+00	4.700000e+00	2.500000e+00	8.760011e-06
4.800000000000001e+00	4.800000e+00	2.500000e+00	8.784652e-06
4.900000000000000e+00	4.900000e+00	2.500000e+00	8.809155e-06
5.000000000000000e+00	5.000000e+00	2.500000e+00	8.833525e-06
Step Information: Vgs=3  (Step: 2/3)
0.000000000000000e+00	0.000000e+00	3.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	3.000000e+00	4.609942e-06
2.000000000000000e-01	2.000000e-01	3.000000e+00	8.588915e-06
3.000000000000000e-01	3.000000e-01	3.000000e+00	1.195584e-05
4.000000000000000e-01	4.000000e-01	3.000000e+00	1.472924e-05
5.000000000000000e-01	5.000000e-01	3.000000e+00	1.692779e-05
6.000000000000001e-01	6.000000e-01	3.000000e+00	1.857219e-05
7.000000000000001e-01	7.000000e-01	3.000000e+00	1.969259e-05
8.000000000000000e-01	8.000000e-01	3.000000e+00	2.035664e-05
9.000000000000000e-01	9.000000e-01	3.000000e+00	2.071688e-05
1.000000000000000e+00	1.000000e+00	3.000000e+00	2.094680e-05
1.100000000000000e+00	1.100000e+00	3.000000e+00	2.113032e-05
1.200000000000000e+00	1.200000e+00	3.000000e+00	2.129244e-05
1.300000000000000e+00	1.300000e+00	3.000000e+00	2.144098e-05
1.400000000000000e+00	1.400000e+00	3.000000e+00	2.157924e-05
1.500000000000000e+00	1.500000e+00	3.000000e+00	2.170903e-05
1.600000000000000e+00	1.600000e+00	3.000000e+00	2.183155e-05
1.700000000000000e+00	1.700000e+00	3.000000e+00	2.194772e-05
1.800000000000000e+00	1.800000e+00	3.000000e+00	2.205827e-05
1.900000000000000e+00	1.900000e+00	3.000000e+00	2.216380e-05
2.000000000000000e+00	2.000000e+00	3.000000e+00	2.226482e-05
2.100000000000000e+00	2.100000e+00	3.000000e+00	2.236176e-05
2.200000000000000e+00	2.200000e+00	3.000000e+00	2.245500e-05
2.300000000000000e+00	2.300000e+00	3.000000e+00	2.254489e-05
2.400000000000000e+00	2.400000e+00	3.000000e+00	2.263170e-05
2.500000000000000e+00	2.500000e+00	3.000000e+00	2.271570e-05
2.600000000000000e+00	2.600000e+00	3.000000e+00	2.279713e-05
2.700000000000000e+00	2.700000e+00	3.000000e+00	2.287617e-05
2.800000000000000e+00	2.800000e+00	3.000000e+00	2.295303e-05
2.900000000000000e+00	2.900000e+00	3.000000e+00	2.302787e-05
3.000000000000000e+00	3.000000e+00	3.000000e+00	2.310083e-05
3.100000000000000e+00	3.100000e+00	3.000000e+00	2.317204e-05
3.200000000000000e+00	3.200000e+00	3.000000e+00	2.324164e-05
3.300000000000000e+00	3.300000e+00	3.000000e+00	2.330973e-05
3.400000000000000e+00	3.400000e+00	3.000000e+00	2.337642e-05
3.500000000000000e+00	3.500000e+00	3.000000e+00	2.344179e-05
3.600000000000000e+00	3.600000e+00	3.000000e+00	2.350593e-05
3.700000000000000e+00	3.700000e+00	3.000000e+00	2.356891e-05
3.800000000000000e+00	3.800000e+00	3.000000e+00	2.363082e-05
3.900000000000000e+00	3.900000e+00	3.000000e+00	2.369171e-05
4.000000000000000e+00	4.000000e+00	3.000000e+00	2.375164e-05
4.100000000000001e+00	4.100000e+00	3.000000e+00	2.381067e-05
