Vds	V(vsd)	V(vsg)	Id(M1)	Is(M1)
Step Information: Vgs=2.5  (Step: 1/3)
0.000000000000000e+00	5.000000e+00	2.500000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	4.900000e+00	2.500000e+00	-4.900000e-06	4.900000e-06
2.000000000000000e-01	4.800000e+00	2.500000e+00	-9.600000e-06	9.600000e-06
3.000000000000000e-01	4.700000e+00	2.500000e+00	-1.410000e-05	1.410000e-05
4.000000000000000e-01	4.600000e+00	2.500000e+00	-1.840000e-05	1.840000e-05
5.000000000000000e-01	4.500000e+00	2.500000e+00	-2.250000e-05	2.250000e-05
6.000000000000001e-01	4.400000e+00	2.500000e+00	-2.640000e-05	2.640000e-05
7.000000000000001e-01	4.300000e+00	2.500000e+00	-3.010000e-05	3.010000e-05
8.000000000000000e-01	4.200000e+00	2.500000e+00	-3.360000e-05	3.360000e-05
9.000000000000000e-01	4.100000e+00	2.500000e+00	-3.690000e-05	3.690000e-05
1.000000000000000e+00	4.000000e+00	2.500000e+00	-4.000000e-05	4.000000e-05
1.100000000000000e+00	3.900000e+00	2.500000e+00	-4.290000e-05	4.290000e-05
1.200000000000000e+00	3.800000e+00	2.500000e+00	-4.560000e-05	4.560000e-05
1.300000000000000e+00	3.700000e+00	2.500000e+00	-4.810000e-05	4.810000e-05
1.400000000000000e+00	3.600000e+00	2.500000e+00	-5.040000e-05	5.040000e-05
1.500000000000000e+00	3.500000e+00	2.500000e+00	-5.250000e-05	5.250000e-05
1.600000000000000e+00	3.400000e+00	2.500000e+00	-5.440000e-05	5.440000e-05
1.700000000000000e+00	3.300000e+00	2.500000e+00	-5.610001e-05	5.610000e-05
1.800000000000000e+00	3.200000e+00	2.500000e+00	-5.760000e-05	5.760000e-05
1.900000000000000e+00	3.100000e+00	2.500000e+00	-5.890000e-05	5.890000e-05
2.000000000000000e+00	3.000000e+00	2.500000e+00	-6.000001e-05	6.000000e-05
2.100000000000000e+00	2.900000e+00	2.500000e+00	-6.090001e-05	6.090000e-05
2.200000000000000e+00	2.800000e+00	2.500000e+00	-6.160000e-05	6.160000e-05
2.300000000000000e+00	2.700000e+00	2.500000e+00	-6.210001e-05	6.210000e-05
2.400000000000000e+00	2.600000e+00	2.500000e+00	-6.240000e-05	6.240000e-05
2.500000000000000e+00	2.500000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
2.600000000000000e+00	2.400000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
2.700000000000000e+00	2.300000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
2.800000000000000e+00	2.200000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
2.900000000000000e+00	2.100000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
3.000000000000000e+00	2.000000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
3.100000000000000e+00	1.900000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
3.200000000000000e+00	1.800000e+00	2.500000e+00	-6.250000e-05	6.250000e-05
3.300000000000000e+00	1.700000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
3.400000000000000e+00	1.600000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
3.500000000000000e+00	1.500000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
3.600000000000000e+00	1.400000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
3.700000000000000e+00	1.300000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
3.800000000000000e+00	1.200000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
3.900000000000000e+00	1.100000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
4.000000000000000e+00	1.000000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
4.100000000000001e+00	9.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.200000000000000e+00	8.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.300000000000000e+00	7.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.400000000000000e+00	6.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.500000000000000e+00	5.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.600000000000001e+00	4.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.700000000000000e+00	3.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.800000000000001e+00	2.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
4.900000000000000e+00	1.000000e-01	2.500000e+00	-6.250001e-05	6.250000e-05
5.000000000000000e+00	0.000000e+00	2.500000e+00	-6.250001e-05	6.250000e-05
Step Information: Vgs=3  (Step: 2/3)
0.000000000000000e+00	5.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	4.900000e+00	2.000000e+00	-5.900000e-06	5.900000e-06
2.000000000000000e-01	4.800000e+00	2.000000e+00	-1.160000e-05	1.160000e-05
3.000000000000000e-01	4.700000e+00	2.000000e+00	-1.710000e-05	1.710000e-05
4.000000000000000e-01	4.600000e+00	2.000000e+00	-2.240000e-05	2.240000e-05
5.000000000000000e-01	4.500000e+00	2.000000e+00	-2.750000e-05	2.750000e-05
6.000000000000001e-01	4.400000e+00	2.000000e+00	-3.240000e-05	3.240000e-05
7.000000000000001e-01	4.300000e+00	2.000000e+00	-3.710000e-05	3.710000e-05
8.000000000000000e-01	4.200000e+00	2.000000e+00	-4.160000e-05	4.160000e-05
9.000000000000000e-01	4.100000e+00	2.000000e+00	-4.590000e-05	4.590000e-05
1.000000000000000e+00	4.000000e+00	2.000000e+00	-5.000000e-05	5.000000e-05
1.100000000000000e+00	3.900000e+00	2.000000e+00	-5.390000e-05	5.390000e-05
1.200000000000000e+00	3.800000e+00	2.000000e+00	-5.760000e-05	5.760000e-05
1.300000000000000e+00	3.700000e+00	2.000000e+00	-6.110000e-05	6.110000e-05
