V(vi)	V(vo)	I(D)
-1.000000000000000e+00	-7.790000e-08	-7.789536e-11
-9.000000000000000e-01	-7.780000e-08	-7.779492e-11
-8.000000000000000e-01	-7.770000e-08	-7.769446e-11
-7.000000000000000e-01	-7.760000e-08	-7.759666e-11
-6.000000000000000e-01	-7.749999e-08	-7.750150e-11
-5.000000000000000e-01	-7.739987e-08	-7.739841e-11
-3.999999999999999e-01	-7.729820e-08	-7.729796e-11
-2.999999999999999e-01	-7.717418e-08	-7.717372e-11
-2.000000000000000e-01	-7.672851e-08	-7.672897e-11
-9.999999999999998e-02	-7.165512e-08	-7.165498e-11
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000001e-01	1.029579e-06	1.029579e-09
2.000000000000002e-01	1.583520e-05	1.583519e-08
3.000000000000000e-01	2.275660e-04	2.275660e-07
4.000000000000001e-01	3.038676e-03	3.038675e-06
5.000000000000000e-01	2.457895e-02	2.457895e-05
6.000000000000001e-01	8.024845e-02	8.024844e-05
7.000000000000002e-01	1.553059e-01	1.553059e-04
8.000000000000000e-01	2.392699e-01	2.392699e-04
9.000000000000001e-01	3.272912e-01	3.272911e-04
1.000000000000000e+00	4.182121e-01	4.182121e-04
1.100000000000000e+00	5.107891e-01	5.107891e-04
1.200000000000000e+00	6.044890e-01	6.044890e-04
1.300000000000000e+00	6.990420e-01	6.990419e-04
1.400000000000000e+00	7.942530e-01	7.942530e-04
1.500000000000000e+00	8.899832e-01	8.899832e-04
1.600000000000000e+00	9.861329e-01	9.861329e-04
1.700000000000000e+00	1.082628e+00	1.082628e-03
1.800000000000000e+00	1.179414e+00	1.179414e-03
1.900000000000000e+00	1.276445e+00	1.276445e-03
2.000000000000000e+00	1.373687e+00	1.373687e-03
2.100000000000000e+00	1.471113e+00	1.471113e-03
2.200000000000000e+00	1.568701e+00	1.568701e-03
2.300000000000000e+00	1.666430e+00	1.666430e-03
2.400000000000000e+00	1.764286e+00	1.764286e-03
2.500000000000000e+00	1.862255e+00	1.862255e-03
2.600000000000000e+00	1.960326e+00	1.960326e-03
2.700000000000000e+00	2.058490e+00	2.058489e-03
2.800000000000000e+00	2.156737e+00	2.156737e-03
2.900000000000000e+00	2.255061e+00	2.255061e-03
3.000000000000000e+00	2.353455e+00	2.353455e-03
