V(vi)	V(vo)
-1.000000000000000e+00	-7.790000e-08
-9.000000000000000e-01	-7.780000e-08
-8.000000000000000e-01	-7.770000e-08
-7.000000000000000e-01	-7.760000e-08
-6.000000000000000e-01	-7.749999e-08
-5.000000000000000e-01	-7.739987e-08
-3.999999999999999e-01	-7.729820e-08
-2.999999999999999e-01	-7.717418e-08
-2.000000000000000e-01	-7.672851e-08
-9.999999999999998e-02	-7.165512e-08
0.000000000000000e+00	0.000000e+00
1.000000000000001e-01	1.029579e-06
2.000000000000002e-01	1.583520e-05
3.000000000000000e-01	2.275660e-04
4.000000000000001e-01	3.038676e-03
5.000000000000000e-01	2.457895e-02
6.000000000000001e-01	8.024845e-02
7.000000000000002e-01	1.553059e-01
8.000000000000000e-01	2.392699e-01
9.000000000000001e-01	3.272912e-01
1.000000000000000e+00	4.182121e-01
1.100000000000000e+00	5.107891e-01
1.200000000000000e+00	6.044890e-01
1.300000000000000e+00	6.990420e-01
1.400000000000000e+00	7.942530e-01
1.500000000000000e+00	8.899832e-01
1.600000000000000e+00	9.861329e-01
1.700000000000000e+00	1.082628e+00
1.800000000000000e+00	1.179414e+00
1.900000000000000e+00	1.276445e+00
2.000000000000000e+00	1.373687e+00
2.100000000000000e+00	1.471113e+00
2.200000000000000e+00	1.568701e+00
2.300000000000000e+00	1.666430e+00
2.400000000000000e+00	1.764286e+00
2.500000000000000e+00	1.862255e+00
2.600000000000000e+00	1.960326e+00
2.700000000000000e+00	2.058490e+00
2.800000000000000e+00	2.156737e+00
2.900000000000000e+00	2.255061e+00
3.000000000000000e+00	2.353455e+00
