v1	V(vi)	V(vo)	I(1n4003)
-1.000000000000000e+00	-1.000000e+00	-1.010000e-09	-1.010000e-12
-9.000000000000000e-01	-9.000000e-01	-9.100000e-10	-9.100000e-13
-8.000000000000000e-01	-8.000000e-01	-8.100000e-10	-8.100000e-13
-7.000000000000001e-01	-7.000000e-01	-7.100000e-10	-7.100000e-13
-6.000000000000001e-01	-6.000000e-01	-6.100000e-10	-6.100000e-13
-5.000000000000001e-01	-5.000000e-01	-5.100000e-10	-5.100000e-13
-4.000000000000001e-01	-4.000000e-01	-4.100000e-10	-4.100000e-13
-3.000000000000002e-01	-3.000000e-01	-3.099999e-10	-3.099999e-13
-2.000000000000001e-01	-2.000000e-01	-2.099956e-10	-2.099956e-13
-1.000000000000001e-01	-1.000000e-01	-1.097906e-10	-1.097906e-13
-1.387778780781446e-16	-1.387779e-16	-1.918016e-25	-1.920686e-28
9.999999999999987e-02	1.000000e-01	5.676224e-10	5.676224e-13
1.999999999999999e-01	2.000000e-01	2.300230e-08	2.300230e-11
2.999999999999999e-01	3.000000e-01	1.089812e-06	1.089812e-09
3.999999999999999e-01	4.000000e-01	5.193611e-05	5.193621e-08
4.999999999999999e-01	5.000000e-01	2.276172e-03	2.276172e-06
5.999999999999999e-01	6.000000e-01	3.305471e-02	3.306335e-05
6.999999999999998e-01	7.000000e-01	1.035365e-01	1.035381e-04
7.999999999999998e-01	8.000000e-01	1.879488e-01	1.880960e-04
8.999999999999998e-01	9.000000e-01	2.779875e-01	2.779925e-04
9.999999999999998e-01	1.000000e+00	3.704456e-01	3.705582e-04
1.100000000000000e+00	1.100000e+00	4.646448e-01	4.647029e-04
1.200000000000000e+00	1.200000e+00	5.598638e-01	5.598835e-04
1.300000000000000e+00	1.300000e+00	6.557845e-01	6.557938e-04
1.400000000000000e+00	1.400000e+00	7.522393e-01	7.522448e-04
1.500000000000000e+00	1.500000e+00	8.491085e-01	8.491118e-04
1.600000000000000e+00	1.600000e+00	9.463065e-01	9.463086e-04
1.700000000000000e+00	1.700000e+00	1.043772e+00	1.043773e-03
1.800000000000000e+00	1.800000e+00	1.141458e+00	1.141459e-03
1.900000000000001e+00	1.900000e+00	1.239331e+00	1.239331e-03
2.000000000000000e+00	2.000000e+00	1.337362e+00	1.337362e-03
2.100000000000001e+00	2.100000e+00	1.435530e+00	1.435530e-03
2.200000000000001e+00	2.200000e+00	1.533817e+00	1.533817e-03
2.300000000000001e+00	2.300000e+00	1.632209e+00	1.632209e-03
2.400000000000001e+00	2.400000e+00	1.730694e+00	1.730694e-03
2.500000000000001e+00	2.500000e+00	1.829261e+00	1.829261e-03
2.600000000000001e+00	2.600000e+00	1.927902e+00	1.927903e-03
2.700000000000001e+00	2.700000e+00	2.026611e+00	2.026611e-03
2.800000000000001e+00	2.800000e+00	2.125380e+00	2.125380e-03
2.900000000000001e+00	2.900000e+00	2.224205e+00	2.224205e-03
3.000000000000000e+00	3.000000e+00	2.323080e+00	2.323080e-03
