time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.142856884279487e-09	1.436157e-05	1.022111e-06
1.828571376855897e-08	2.872313e-05	3.184644e-06
2.742857065283846e-08	4.308470e-05	6.487600e-06
3.657142753711795e-08	5.744626e-05	1.093098e-05
4.571428442139743e-08	7.180783e-05	1.651478e-05
5.485714130567693e-08	8.616939e-05	2.323900e-05
6.399999818995639e-08	1.005310e-04	3.110365e-05
1.279999963799128e-07	2.010619e-04	9.973410e-05
1.974393428673511e-07	3.101370e-04	1.943940e-04
2.883515766759396e-07	4.529416e-04	3.304233e-04
6.354358387047678e-07	9.981403e-04	8.730122e-04
1.577481172470824e-05	2.478155e-02	2.465659e-02
3.091418761071172e-05	4.855815e-02	4.843293e-02
4.605356349671520e-05	7.232794e-02	7.220203e-02
6.119293938271867e-05	9.609093e-02	9.596389e-02
7.633231526872215e-05	1.198471e-01	1.197185e-01
9.147169115472562e-05	1.435965e-01	1.434659e-01
1.066110670407291e-04	1.673391e-01	1.672060e-01
1.945969129233745e-04	3.049111e-01	3.045029e-01
2.401974993606956e-04	3.758707e-01	3.738680e-01
2.732631124772576e-04	4.271348e-01	4.205101e-01
3.037737632581176e-04	4.742748e-01	4.571901e-01
3.349287668335917e-04	5.222303e-01	4.862505e-01
3.820222702767241e-04	5.943335e-01	5.164584e-01
4.500814666903116e-04	6.976007e-01	5.431268e-01
5.224283719822251e-04	8.059708e-01	5.608041e-01
6.305061302208934e-04	9.646935e-01	5.781604e-01
8.252671440733968e-04	1.239011e+00	5.974396e-01
1.139676987589605e-03	1.641082e+00	6.152211e-01
1.638130200423455e-03	2.142304e+00	6.299019e-01
2.303576826755810e-03	2.480985e+00	6.373888e-01
2.576680080466204e-03	2.497099e+00	6.377929e-01
2.774840958547082e-03	2.462816e+00	6.370443e-01
3.096671617281775e-03	2.326361e+00	6.342294e-01
3.612850939203197e-03	1.913353e+00	6.240645e-01
4.406475578569699e-03	9.108463e-01	5.742004e-01
4.695175934293372e-03	4.758945e-01	4.624538e-01
4.804694720240355e-03	3.060154e-01	3.033855e-01
4.870521370284289e-03	2.031603e-01	2.057911e-01
4.936982405942245e-03	9.896194e-02	9.657699e-02
5.000964122201877e-03	-1.514439e-03	1.107418e-03
5.072736232177620e-03	-1.142140e-01	-1.165728e-01
5.150509298638145e-03	-2.360672e-01	-2.334251e-01
5.206466435813783e-03	-3.234078e-01	-3.252350e-01
5.244778211949963e-03	-3.829827e-01	-3.783155e-01
5.273744964762621e-03	-4.278806e-01	-4.230790e-01
5.301386119803925e-03	-4.705918e-01	-4.531708e-01
5.329210912461106e-03	-5.134435e-01	-4.824339e-01
5.356439769476146e-03	-5.552256e-01	-5.012755e-01
5.391762009824662e-03	-6.091828e-01	-5.214550e-01
5.443221925334100e-03	-6.872473e-01	-5.407941e-01
5.492796293016284e-03	-7.617729e-01	-5.544398e-01
5.591945028380653e-03	-9.085354e-01	-5.727496e-01
5.710682617625551e-03	-1.079607e+00	-5.873842e-01
5.948157796115349e-03	-1.402814e+00	-6.056325e-01
6.299751911971949e-03	-1.822155e+00	-6.211688e-01
7.002940143685151e-03	-2.379064e+00	-6.353592e-01
7.460199680595656e-03	-2.499218e+00	-6.377424e-01
7.635204352445627e-03	-2.490984e+00	-6.375813e-01
7.870053610684656e-03	-2.432727e+00	-6.364446e-01
8.250475815651611e-03	-2.227177e+00	-6.320738e-01
8.854732673786879e-03	-1.647696e+00	-6.157876e-01
9.363568537443530e-03	-9.732734e-01	-5.801859e-01
9.668988834477645e-03	-5.162107e-01	-4.875199e-01
9.751942672602751e-03	-3.880719e-01	-3.841405e-01
9.834698990221092e-03	-2.591876e-01	-2.613375e-01
9.854058978571589e-03	-2.289225e-01	-2.269672e-01
