time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.142856884279487e-09	4.308470e-05	2.676851e-06
1.828571376855897e-08	8.616940e-05	8.432841e-06
2.742857065283846e-08	1.292541e-04	1.726797e-05
3.657142753711795e-08	1.723388e-04	2.918224e-05
4.571428442139743e-08	2.154235e-04	4.417565e-05
5.485714130567693e-08	2.585082e-04	6.224819e-05
6.399999818995639e-08	3.015929e-04	8.339988e-05
9.862939601873577e-08	4.647801e-04	1.780592e-04
1.499112382641676e-07	7.064401e-04	3.550724e-04
2.154707274554667e-07	1.015382e-03	6.198441e-04
3.167667278393581e-07	1.492728e-03	1.068656e-03
4.602912563215951e-07	2.169071e-03	1.734650e-03
8.621488719294855e-06	4.062919e-02	4.019304e-02
1.678268618226811e-05	7.908603e-02	7.864796e-02
2.494388364524137e-05	1.175396e-01	1.170994e-01
3.310508110821464e-05	1.559899e-01	1.555474e-01
4.126627857118789e-05	1.944369e-01	1.939920e-01
4.942747603416116e-05	2.328806e-01	2.324330e-01
5.758867349713440e-05	2.713210e-01	2.708706e-01
1.149197711038605e-04	5.410762e-01	5.405470e-01
1.762236304932375e-04	8.287385e-01	8.280664e-01
2.404916107910334e-04	1.128982e+00	1.128306e+00
3.623189881511019e-04	1.692679e+00	1.692084e+00
4.587853632166788e-04	2.132157e+00	2.131607e+00
6.517181133478326e-04	2.986038e+00	2.985561e+00
7.957726900394980e-04	3.595683e+00	3.595099e+00
9.268077123528516e-04	4.124788e+00	4.122288e+00
1.056100134367893e-03	4.619483e+00	4.601161e+00
1.176876976376192e-03	5.054132e+00	4.965443e+00
1.328344526007541e-03	5.557828e+00	5.249317e+00
1.566122622151845e-03	6.245490e+00	5.457910e+00
1.837798485002739e-03	6.860122e+00	5.565667e+00
2.127388797551340e-03	7.295394e+00	5.618295e+00
2.509374443935754e-03	7.499870e+00	5.637067e+00
2.665264546717372e-03	7.459602e+00	5.634289e+00
2.918916817677872e-03	7.241692e+00	5.613986e+00
3.329101240769529e-03	6.505139e+00	5.509423e+00
3.670479906093220e-03	5.561546e+00	5.250937e+00
3.966319019382422e-03	4.535798e+00	4.523210e+00
4.270476905934234e-03	3.318671e+00	3.318879e+00
4.648905299345291e-03	1.641108e+00	1.641429e+00
5.004942696811544e-03	-2.329187e-02	-2.299615e-02
5.662997995663420e-03	-3.034723e+00	-3.034387e+00
6.002386674935240e-03	-4.417483e+00	-4.409396e+00
6.329615829391693e-03	-5.561849e+00	-5.250986e+00
6.370881953214069e-03	-5.690423e+00	-5.301417e+00
6.453414200858820e-03	-5.936010e+00	-5.380715e+00
6.618478696148324e-03	-6.378691e+00	-5.485497e+00
6.948607686727333e-03	-7.054380e+00	-5.591239e+00
7.325329211521966e-03	-7.454877e+00	-5.633199e+00
7.584857919741662e-03	-7.489342e+00	-5.636250e+00
7.788150464913884e-03	-7.377413e+00	-5.626977e+00
8.118213247554379e-03	-6.941272e+00	-5.576813e+00
8.646953566346267e-03	-5.635316e+00	-5.280751e+00
8.989432998349936e-03	-4.448577e+00	-4.439927e+00
9.320259050656051e-03	-3.106706e+00	-3.106938e+00
9.608691725005782e-03	-1.825475e+00	-1.825805e+00
9.892952637451257e-03	-5.040686e-01	-5.043483e-01
1.046147446234221e-02	2.144304e+00	2.143968e+00
1.093753301386507e-02	4.166906e+00	4.163975e+00
1.099542284729155e-02	4.390921e+00	4.383660e+00
1.111120251414452e-02	4.821237e+00	4.781367e+00
1.128978608699646e-02	5.434204e+00	5.193365e+00
1.148058869257294e-02	6.013411e+00	5.402039e+00
1.171246330573544e-02	6.600393e+00	5.525782e+00
1.199024291772103e-02	7.118582e+00	5.599033e+00
1.240734494675817e-02	7.487294e+00	5.635936e+00
