time	V(vi)	V(vo)
0.000000000000000e+00	-1.000000e+00	-4.699904e-13
9.999999960041972e-12	-9.800000e-01	1.999998e-02
1.124836818562559e-11	-9.775032e-01	2.249672e-02
1.374510463679281e-11	-9.725098e-01	2.749019e-02
1.873857753912727e-11	-9.625229e-01	3.747712e-02
2.872552334379618e-11	-9.425489e-01	5.745100e-02
1.321110120855097e-10	-7.357780e-01	2.642218e-01
2.502658563617536e-10	-4.994683e-01	5.005313e-01
4.865755449142415e-10	-2.684891e-02	9.731504e-01
9.591949220192174e-10	9.183899e-01	1.918388e+00
1.000000000000000e-09	1.000000e+00	1.999999e+00
1.004080507798078e-09	1.000000e+00	1.999999e+00
1.012241523394235e-09	1.000000e+00	1.999999e+00
1.028563554586548e-09	1.000000e+00	1.999999e+00
1.061207616971174e-09	1.000000e+00	1.999999e+00
1.126495741740426e-09	1.000000e+00	1.999999e+00
1.257071991278931e-09	1.000000e+00	1.999999e+00
1.518224490355940e-09	1.000000e+00	1.999999e+00
2.040529488509957e-09	1.000000e+00	1.999999e+00
3.085139484817993e-09	1.000000e+00	1.999999e+00
5.174359477434064e-09	1.000000e+00	1.999999e+00
9.352799462666206e-09	1.000000e+00	1.999999e+00
1.770967943313049e-08	1.000000e+00	1.999999e+00
3.442343937405905e-08	1.000000e+00	1.999998e+00
6.785095925591618e-08	1.000000e+00	1.999998e+00
1.347059990196305e-07	1.000000e+00	1.999998e+00
2.684160785470590e-07	1.000000e+00	1.999997e+00
5.358362376019161e-07	1.000000e+00	1.999996e+00
1.070676555711630e-06	1.000000e+00	1.999994e+00
2.140357191931059e-06	1.000000e+00	1.999990e+00
4.279718464369915e-06	1.000000e+00	1.999980e+00
8.558441009247629e-06	1.000000e+00	1.999962e+00
1.711588609900306e-05	1.000000e+00	1.999926e+00
3.423077627851391e-05	1.000000e+00	1.999853e+00
6.846055663753562e-05	1.000000e+00	1.999707e+00
1.369201173555790e-04	1.000000e+00	1.999416e+00
