time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.570796e-06	1.570794e-06
6.553599814651534e-05	1.029146e-01	1.029144e-01
1.310719962930307e-04	2.056548e-01	2.056544e-01
1.719011355244466e-04	2.694970e-01	2.694964e-01
2.043089025647731e-04	3.200470e-01	3.200462e-01
2.276207053748679e-04	3.563281e-01	3.563268e-01
2.477223538371439e-04	3.875521e-01	3.875499e-01
2.665955504797441e-04	4.168117e-01	4.168077e-01
2.850557554950278e-04	4.453744e-01	4.453666e-01
3.042706733744425e-04	4.750411e-01	4.750248e-01
3.225689032515412e-04	5.032282e-01	5.031946e-01
3.411871831623408e-04	5.318401e-01	5.317688e-01
3.593877372018269e-04	5.597396e-01	5.595908e-01
3.777988625845650e-04	5.878875e-01	5.875736e-01
3.961019101683133e-04	6.157921e-01	6.151356e-01
4.146495245992561e-04	6.439865e-01	6.426097e-01
4.334023711959326e-04	6.724040e-01	6.695372e-01
4.527842165031043e-04	7.016765e-01	6.957329e-01
4.733052321721051e-04	7.325559e-01	7.203829e-01
4.965185135693625e-04	7.673396e-01	7.426094e-01
5.264717210131622e-04	8.119803e-01	7.611217e-01
5.560284107856434e-04	8.557483e-01	7.701613e-01
5.882439424906807e-04	9.031168e-01	7.740616e-01
6.283614817937163e-04	9.615847e-01	7.753550e-01
6.774458680880740e-04	1.032286e+00	7.753007e-01
8.269315875930924e-04	1.241281e+00	7.735314e-01
1.000723140520434e-03	1.470382e+00	7.708902e-01
1.348306246375117e-03	1.873517e+00	7.636271e-01
2.043472458084484e-03	2.397853e+00	7.354014e-01
2.476399731630214e-03	2.499725e+00	6.908259e-01
2.641227674158386e-03	2.490164e+00	6.620459e-01
2.878156214642331e-03	2.429763e+00	5.915917e-01
2.986369028747975e-03	2.384171e+00	5.452259e-01
3.075488545180505e-03	2.338339e+00	4.992103e-01
3.161863603225011e-03	2.286922e+00	4.477434e-01
3.255412915498729e-03	2.223643e+00	3.844519e-01
3.388669396539470e-03	2.120303e+00	2.811086e-01
3.614557507017439e-03	1.911627e+00	7.243254e-02
3.777282476572673e-03	1.737206e+00	-1.019885e-01
3.890933066743744e-03	1.604508e+00	-2.346858e-01
3.951614639284307e-03	1.530263e+00	-3.089305e-01
3.991853295350019e-03	1.479797e+00	-3.593959e-01
4.018988371077958e-03	1.445229e+00	-3.939626e-01
4.041780908096875e-03	1.415868e+00	-4.233210e-01
4.063292738579007e-03	1.387890e+00	-4.512936e-01
4.086035039879942e-03	1.358036e+00	-4.811357e-01
4.107245178652514e-03	1.329944e+00	-5.092049e-01
4.128968826026579e-03	1.300927e+00	-5.381715e-01
4.149895760723995e-03	1.272744e+00	-5.662499e-01
4.171042717785400e-03	1.244042e+00	-5.947297e-01
4.191892848086120e-03	1.215528e+00	-6.227848e-01
4.213068545341073e-03	1.186355e+00	-6.509954e-01
4.234654939333149e-03	1.156400e+00	-6.789855e-01
4.257674458970362e-03	1.124222e+00	-7.071801e-01
4.283965589152360e-03	1.087183e+00	-7.362528e-01
4.313638717582335e-03	1.045025e+00	-7.647315e-01
4.345147498324708e-03	9.998605e-01	-7.911856e-01
4.382879147606419e-03	9.452625e-01	-8.203229e-01
4.427563854624499e-03	8.799186e-01	-8.537152e-01
4.480926402780822e-03	8.009807e-01	-8.935304e-01
4.549336934069005e-03	6.984779e-01	-9.450743e-01
4.672466062929612e-03	5.108652e-01	-1.039293e+00
4.918724320650826e-03	1.276121e-01	-1.231416e+00
5.411240836093252e-03	-6.388114e-01	-1.614326e+00
6.135065306937181e-03	-1.635610e+00	-2.108391e+00
6.728984166596529e-03	-2.212336e+00	-2.387676e+00
7.226080021965885e-03	-2.463064e+00	-2.498562e+00
7.547340589674341e-03	-2.498894e+00	-2.496115e+00
7.727081173406650e-03	-2.474597e+00	-2.464524e+00
7.845611407757856e-03	-2.441286e+00	-2.429497e+00
7.959848395224555e-03	-2.396372e+00	-2.384004e+00
8.011468578811047e-03	-2.372013e+00	-2.359555e+00
8.070031995839541e-03	-2.341357e+00	-2.328850e+00
8.130636710887850e-03	-2.306296e+00	-2.293768e+00
8.193899020199940e-03	-2.266131e+00	-2.253595e+00
8.273519644830135e-03	-2.210501e+00	-2.197961e+00
8.380103971016913e-03	-2.127400e+00	-2.114860e+00
8.550480085500054e-03	-1.974925e+00	-1.962384e+00
8.891232314466337e-03	-1.604147e+00	-1.591607e+00
9.572736772398904e-03	-6.631110e-01	-6.505721e-01
9.961472406951069e-03	-6.051309e-02	-4.797494e-02
1.028323895342181e-02	4.425659e-01	4.550531e-01
1.041744263634547e-02	6.482249e-01	6.560847e-01
1.050330627336997e-02	7.774801e-01	7.484292e-01
1.056899416869890e-02	8.748559e-01	7.736886e-01
1.060693497776840e-02	9.304311e-01	7.753910e-01
1.064958446430194e-02	9.922706e-01	7.755398e-01
1.069363599939562e-02	1.055395e+00	7.751709e-01
1.077523094075874e-02	1.170145e+00	7.742131e-01
1.093107597755540e-02	1.380524e+00	7.720274e-01
1.116293207313933e-02	1.668462e+00	7.678266e-01
1.162664426430719e-02	2.132949e+00	7.553307e-01
1.229826166925318e-02	2.479943e+00	7.137699e-01
1.257467844074057e-02	2.497248e+00	6.758159e-01
1.277158307314019e-02	2.463691e+00	6.287896e-01
1.309139682941010e-02	2.329382e+00	4.895015e-01
1.342250202467327e-02	2.091670e+00	2.516668e-01
1.373311941623907e-02	1.786417e+00	-5.358632e-02
1.431930753248810e-02	1.036929e+00	-8.030732e-01
1.498456124022176e-02	2.425077e-02	-1.815750e+00
1.530977079412889e-02	-4.835204e-01	-2.323441e+00
1.547961652037397e-02	-7.420288e-01	-2.565121e+00
1.558049146288416e-02	-8.917509e-01	-2.666077e+00
1.562249172049746e-02	-9.530673e-01	-2.696634e+00
1.566627090751021e-02	-1.016274e+00	-2.728028e+00
1.571219453087132e-02	-1.081749e+00	-2.760511e+00
1.580404177759354e-02	-1.209944e+00	-2.824074e+00
1.595179338834155e-02	-1.407537e+00	-2.921824e+00
1.624101160131508e-02	-1.757755e+00	-3.094264e+00
1.681944802726216e-02	-2.274905e+00	-3.343680e+00
1.738413922145734e-02	-2.493379e+00	-3.430961e+00
1.760687241460199e-02	-2.494366e+00	-3.414679e+00
1.782397188008298e-02	-2.448384e+00	-3.362798e+00
1.817612656816636e-02	-2.277779e+00	-3.190488e+00
1.873828595465102e-02	-1.780730e+00	-2.693413e+00
1.959016921705532e-02	-6.366698e-01	-1.549355e+00
2.070719778713901e-02	1.074668e+00	1.619802e-01
2.119077971902900e-02	1.700781e+00	7.142040e-01
2.168153732170533e-02	2.176648e+00	7.736074e-01
2.187567382937771e-02	2.310104e+00	7.314036e-01
2.199291563635592e-02	2.374179e+00	7.363118e-01
