V(vds)	Id(M1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	-2.760000e-05
2.000000000000000e-01	-5.440000e-05
3.000000000000000e-01	-8.040000e-05
4.000000000000000e-01	-1.056000e-04
5.000000000000000e-01	-1.300000e-04
6.000000000000001e-01	-1.536000e-04
7.000000000000001e-01	-1.764000e-04
8.000000000000000e-01	-1.984000e-04
9.000000000000000e-01	-2.196000e-04
1.000000000000000e+00	-2.400000e-04
1.100000000000000e+00	-2.596000e-04
1.200000000000000e+00	-2.784000e-04
1.300000000000000e+00	-2.964000e-04
1.400000000000000e+00	-3.136000e-04
1.500000000000000e+00	-3.300000e-04
1.600000000000000e+00	-3.456000e-04
1.700000000000000e+00	-3.604000e-04
1.800000000000000e+00	-3.744000e-04
1.900000000000000e+00	-3.876000e-04
2.000000000000000e+00	-4.000000e-04
2.100000000000000e+00	-4.116000e-04
2.200000000000000e+00	-4.224000e-04
2.300000000000000e+00	-4.324000e-04
2.400000000000000e+00	-4.416000e-04
2.500000000000000e+00	-4.500000e-04
2.600000000000000e+00	-4.576000e-04
2.700000000000000e+00	-4.644000e-04
2.800000000000000e+00	-4.704000e-04
2.900000000000000e+00	-4.756000e-04
3.000000000000000e+00	-4.800000e-04
3.100000000000000e+00	-4.836000e-04
3.200000000000000e+00	-4.864000e-04
3.300000000000000e+00	-4.884000e-04
3.400000000000000e+00	-4.896000e-04
3.500000000000000e+00	-4.900000e-04
3.600000000000000e+00	-4.900000e-04
3.700000000000000e+00	-4.900000e-04
3.800000000000000e+00	-4.900000e-04
3.900000000000000e+00	-4.900000e-04
4.000000000000000e+00	-4.900000e-04
4.100000000000001e+00	-4.900000e-04
4.200000000000000e+00	-4.900000e-04
4.300000000000000e+00	-4.900000e-04
4.400000000000000e+00	-4.900000e-04
4.500000000000000e+00	-4.900000e-04
4.600000000000001e+00	-4.900000e-04
4.700000000000000e+00	-4.900000e-04
4.800000000000001e+00	-4.900000e-04
4.900000000000000e+00	-4.900000e-04
5.000000000000000e+00	-4.900000e-04
