V(vds)	Id(M1)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	-2.360000e-05
2.000000000000000e-01	-4.640000e-05
3.000000000000000e-01	-6.840000e-05
4.000000000000000e-01	-8.960000e-05
5.000000000000000e-01	-1.100000e-04
6.000000000000001e-01	-1.296000e-04
7.000000000000001e-01	-1.484000e-04
8.000000000000000e-01	-1.664000e-04
9.000000000000000e-01	-1.836000e-04
1.000000000000000e+00	-2.000000e-04
1.100000000000000e+00	-2.156000e-04
1.200000000000000e+00	-2.304000e-04
1.300000000000000e+00	-2.444000e-04
1.400000000000000e+00	-2.576000e-04
1.500000000000000e+00	-2.700000e-04
1.600000000000000e+00	-2.816000e-04
1.700000000000000e+00	-2.924000e-04
1.800000000000000e+00	-3.024000e-04
1.900000000000000e+00	-3.116000e-04
2.000000000000000e+00	-3.200000e-04
2.100000000000000e+00	-3.276000e-04
2.200000000000000e+00	-3.344000e-04
2.300000000000000e+00	-3.404000e-04
2.400000000000000e+00	-3.456000e-04
2.500000000000000e+00	-3.500000e-04
2.600000000000000e+00	-3.536000e-04
2.700000000000000e+00	-3.564000e-04
2.800000000000000e+00	-3.584000e-04
2.900000000000000e+00	-3.596000e-04
3.000000000000000e+00	-3.600000e-04
3.100000000000000e+00	-3.600000e-04
3.200000000000000e+00	-3.600000e-04
3.300000000000000e+00	-3.600000e-04
3.400000000000000e+00	-3.600000e-04
3.500000000000000e+00	-3.600000e-04
3.600000000000000e+00	-3.600000e-04
3.700000000000000e+00	-3.600000e-04
3.800000000000000e+00	-3.600000e-04
3.900000000000000e+00	-3.600000e-04
4.000000000000000e+00	-3.600000e-04
4.100000000000001e+00	-3.600000e-04
4.200000000000000e+00	-3.600000e-04
4.300000000000000e+00	-3.600000e-04
4.400000000000000e+00	-3.600000e-04
4.500000000000000e+00	-3.600000e-04
4.600000000000001e+00	-3.600000e-04
4.700000000000000e+00	-3.600000e-04
4.800000000000001e+00	-3.600000e-04
4.900000000000000e+00	-3.600000e-04
5.000000000000000e+00	-3.600000e-04
