V(vgs)	Id(M1)
0.000000000000000e+00	-1.001000e-11
1.000000000000000e-01	-4.000100e-07
2.000000000000000e-01	-1.600010e-06
3.000000000000000e-01	-3.600010e-06
4.000000000000000e-01	-6.400010e-06
5.000000000000000e-01	-1.000001e-05
6.000000000000001e-01	-1.440001e-05
7.000000000000001e-01	-1.960001e-05
8.000000000000000e-01	-2.560001e-05
9.000000000000000e-01	-3.240001e-05
1.000000000000000e+00	-4.000001e-05
1.100000000000000e+00	-4.840001e-05
1.200000000000000e+00	-5.760001e-05
1.300000000000000e+00	-6.760001e-05
1.400000000000000e+00	-7.840001e-05
1.500000000000000e+00	-9.000001e-05
1.600000000000000e+00	-1.024000e-04
1.700000000000000e+00	-1.156000e-04
1.800000000000000e+00	-1.296000e-04
1.900000000000000e+00	-1.444000e-04
2.000000000000000e+00	-1.600000e-04
2.100000000000000e+00	-1.764000e-04
2.200000000000000e+00	-1.936000e-04
2.300000000000000e+00	-2.116000e-04
2.400000000000000e+00	-2.304000e-04
2.500000000000000e+00	-2.500000e-04
2.600000000000000e+00	-2.704000e-04
2.700000000000000e+00	-2.916000e-04
2.800000000000000e+00	-3.136000e-04
2.900000000000000e+00	-3.364000e-04
3.000000000000000e+00	-3.600000e-04
3.100000000000000e+00	-3.844000e-04
3.200000000000000e+00	-4.096000e-04
3.300000000000000e+00	-4.356000e-04
3.400000000000000e+00	-4.624000e-04
3.500000000000000e+00	-4.900000e-04
3.600000000000000e+00	-5.184000e-04
3.700000000000000e+00	-5.476000e-04
3.800000000000000e+00	-5.776000e-04
3.900000000000000e+00	-6.084000e-04
4.000000000000000e+00	-6.400000e-04
4.100000000000001e+00	-6.724000e-04
4.200000000000000e+00	-7.056000e-04
4.300000000000000e+00	-7.396000e-04
4.400000000000000e+00	-7.744000e-04
4.500000000000000e+00	-8.100000e-04
4.600000000000001e+00	-8.464000e-04
4.700000000000000e+00	-8.836000e-04
4.800000000000001e+00	-9.216000e-04
4.900000000000000e+00	-9.604000e-04
5.000000000000000e+00	-1.000000e-03
