V(vce)	Ic(Q1)
0.000000000000000e+00	-1.799988e-01
1.000000000000000e-01	-1.899988e-01
2.000000000000000e-01	-1.999988e-01
3.000000000000000e-01	-2.099988e-01
4.000000000000000e-01	-2.199988e-01
5.000000000000000e-01	-2.299988e-01
6.000000000000001e-01	-2.399988e-01
7.000000000000001e-01	-2.499988e-01
8.000000000000000e-01	-2.599988e-01
9.000000000000000e-01	-2.699988e-01
1.000000000000000e+00	-2.799988e-01
1.100000000000000e+00	-2.899988e-01
1.200000000000000e+00	-2.999988e-01
1.300000000000000e+00	-3.099988e-01
1.400000000000000e+00	-3.199988e-01
1.500000000000000e+00	-3.299988e-01
1.600000000000000e+00	-3.399988e-01
1.700000000000000e+00	-3.499988e-01
1.800000000000000e+00	-3.599988e-01
1.900000000000000e+00	-3.699988e-01
2.000000000000000e+00	-3.799988e-01
