time	V(vo)	V(Vgs)	Ig
0.000000000000000e+00	6.218017e-12	0.000000e+00	8.318495e-04
1.019910716422601e-05	-2.059199e-04	3.216893e-04	8.319462e-04
2.039821432845202e-05	-4.089573e-04	6.388859e-04	8.320417e-04
3.059732149267803e-05	-6.091122e-04	9.515899e-04	8.321357e-04
4.079642865690404e-05	-8.063845e-04	1.259801e-03	8.322284e-04
5.099553582113005e-05	-1.000774e-03	1.563520e-03	8.323198e-04
6.119464298535606e-05	-1.192282e-03	1.862746e-03	8.324098e-04
7.139375014958204e-05	-1.380906e-03	2.157479e-03	8.324984e-04
9.092500014958204e-05	-1.721619e-03	2.689908e-03	8.326586e-04
1.104562501495820e-04	-2.036378e-03	3.181852e-03	8.328065e-04
1.299875001495820e-04	-2.320440e-03	3.625914e-03	8.329400e-04
1.495187501495820e-04	-2.569521e-03	4.015413e-03	8.330572e-04
1.690500001495821e-04	-2.779868e-03	4.344491e-03	8.331561e-04
1.885812501495821e-04	-2.948306e-03	4.608199e-03	8.332353e-04
2.081125001495821e-04	-3.072296e-03	4.802570e-03	8.332936e-04
2.276437501495821e-04	-3.149966e-03	4.924681e-03	8.333302e-04
2.471750001495821e-04	-3.180145e-03	4.972695e-03	8.333444e-04
2.667062501495821e-04	-3.162377e-03	4.945890e-03	8.333361e-04
2.862375001495821e-04	-3.096930e-03	4.844668e-03	8.333054e-04
3.057687501495821e-04	-2.984793e-03	4.670553e-03	8.332528e-04
3.253000001495822e-04	-2.827656e-03	4.426164e-03	8.331790e-04
3.448312501495822e-04	-2.627891e-03	4.115176e-03	8.330852e-04
3.643625001495822e-04	-2.388510e-03	3.742266e-03	8.329728e-04
3.838937501495822e-04	-2.113123e-03	3.313045e-03	8.328434e-04
4.034250001495822e-04	-1.805883e-03	2.833966e-03	8.326990e-04
4.229562501495822e-04	-1.471418e-03	2.312237e-03	8.325419e-04
4.522531251495823e-04	-9.297935e-04	1.466986e-03	8.322874e-04
4.815500001495823e-04	-3.566548e-04	5.721105e-04	8.320181e-04
4.913156251495823e-04	-1.601088e-04	2.651311e-04	8.319257e-04
5.010812501495823e-04	3.522460e-05	-4.000194e-05	8.318339e-04
5.108468751495823e-04	2.293455e-04	-3.432886e-04	8.317427e-04
5.206125001495823e-04	4.222540e-04	-6.447288e-04	8.316521e-04
5.303781251495823e-04	6.139499e-04	-9.443227e-04	8.315620e-04
5.401437501495823e-04	8.044334e-04	-1.242070e-03	8.314725e-04
5.499093751495823e-04	9.937043e-04	-1.537971e-03	8.313835e-04
5.792062501495823e-04	1.530944e-03	-2.378158e-03	8.311310e-04
5.987375001495824e-04	1.861486e-03	-2.895322e-03	8.309757e-04
6.182687501495824e-04	2.164092e-03	-3.368963e-03	8.308334e-04
6.378000001495824e-04	2.434221e-03	-3.791957e-03	8.307064e-04
