time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765625114122045e-11	1.533981e-07	1.533981e-07
1.953125022824409e-10	3.067962e-07	3.067962e-07
3.906250045648818e-10	6.135923e-07	6.135923e-07
7.812500091297636e-10	1.227185e-06	1.227185e-06
1.562500018259527e-09	2.454369e-06	2.454369e-06
3.125000036519054e-09	4.908738e-06	4.908738e-06
6.250000073038109e-09	9.817477e-06	9.817477e-06
1.250000014607622e-08	1.963495e-05	1.963495e-05
2.500000029215244e-08	3.926991e-05	3.926991e-05
5.000000058430487e-08	7.853982e-05	7.853982e-05
1.000000011686097e-07	1.570796e-04	1.570796e-04
2.000000023372195e-07	3.141593e-04	3.141593e-04
4.000000046744390e-07	6.283185e-04	6.283185e-04
8.000000093488779e-07	1.256637e-03	1.256637e-03
1.600000018697756e-06	2.513274e-03	2.513274e-03
3.200000037395512e-06	5.026545e-03	5.026545e-03
6.400000074791024e-06	1.005307e-02	1.005307e-02
1.280000014958205e-05	2.010598e-02	2.010598e-02
2.256562514958205e-05	3.544481e-02	3.544481e-02
3.233125014958205e-05	5.078232e-02	5.078232e-02
4.209687514958205e-05	6.611791e-02	6.611791e-02
5.186250014958205e-05	8.145101e-02	8.145101e-02
6.162812514958205e-05	9.678105e-02	9.678105e-02
7.139375014958204e-05	1.121074e-01	1.121074e-01
8.115937514958204e-05	1.274296e-01	1.274296e-01
9.092500014958204e-05	1.427470e-01	1.427470e-01
1.006906251495820e-04	1.580590e-01	1.580590e-01
1.104562501495820e-04	1.733650e-01	1.733650e-01
1.202218751495820e-04	1.886645e-01	1.886645e-01
1.299875001495820e-04	2.039570e-01	2.039569e-01
1.397531251495820e-04	2.192417e-01	2.192416e-01
1.495187501495820e-04	2.345182e-01	2.345181e-01
1.592843751495820e-04	2.497858e-01	2.497857e-01
1.690500001495821e-04	2.650441e-01	2.650438e-01
1.788156251495821e-04	2.802924e-01	2.802919e-01
1.885812501495821e-04	2.955301e-01	2.955292e-01
1.983468751495821e-04	3.107567e-01	3.107550e-01
2.081125001495821e-04	3.259716e-01	3.259686e-01
2.178781251495821e-04	3.411742e-01	3.411688e-01
2.276437501495821e-04	3.563640e-01	3.563543e-01
2.374093751495821e-04	3.715403e-01	3.715230e-01
2.471750001495821e-04	3.867027e-01	3.866716e-01
2.569406251495821e-04	4.018505e-01	4.017947e-01
2.667062501495821e-04	4.169832e-01	4.168832e-01
2.764718751495821e-04	4.321001e-01	4.319214e-01
2.862375001495821e-04	4.472009e-01	4.468821e-01
2.960031251495821e-04	4.622847e-01	4.617190e-01
3.057687501495821e-04	4.773512e-01	4.763549e-01
3.155343751495822e-04	4.923997e-01	4.906672e-01
3.253000001495822e-04	5.074297e-01	5.044752e-01
3.350656251495822e-04	5.224406e-01	5.175446e-01
3.448312501495822e-04	5.374317e-01	5.296242e-01
3.545968751495822e-04	5.524027e-01	5.405125e-01
3.643625001495822e-04	5.673528e-01	5.501183e-01
3.741281251495822e-04	5.822816e-01	5.584737e-01
3.838937501495822e-04	5.971885e-01	5.656999e-01
3.936593751495822e-04	6.120729e-01	5.719565e-01
4.034250001495822e-04	6.269342e-01	5.774034e-01
4.131906251495822e-04	6.417720e-01	5.821816e-01
4.229562501495822e-04	6.565856e-01	5.864085e-01
4.327218751495823e-04	6.713744e-01	5.901787e-01
4.424875001495823e-04	6.861380e-01	5.935684e-01
4.522531251495823e-04	7.008758e-01	5.966380e-01
4.620187501495823e-04	7.155871e-01	5.994364e-01
4.717843751495823e-04	7.302715e-01	6.020029e-01
4.815500001495823e-04	7.449284e-01	6.043693e-01
4.913156251495823e-04	7.595573e-01	6.065619e-01
5.010812501495823e-04	7.741576e-01	6.086024e-01
5.108468751495823e-04	7.887287e-01	6.105089e-01
5.206125001495823e-04	8.032702e-01	6.122965e-01
5.303781251495823e-04	8.177814e-01	6.139782e-01
5.401437501495823e-04	8.322618e-01	6.155649e-01
5.499093751495823e-04	8.467109e-01	6.170659e-01
5.596750001495823e-04	8.611280e-01	6.184894e-01
5.694406251495823e-04	8.755128e-01	6.198425e-01
5.792062501495823e-04	8.898646e-01	6.211314e-01
5.889718751495823e-04	9.041830e-01	6.223614e-01
5.987375001495824e-04	9.184672e-01	6.235373e-01
6.085031251495824e-04	9.327169e-01	6.246634e-01
6.182687501495824e-04	9.469315e-01	6.257433e-01
6.280343751495824e-04	9.611104e-01	6.267805e-01
6.378000001495824e-04	9.752532e-01	6.277780e-01
6.475656251495824e-04	9.893591e-01	6.287384e-01
6.573312501495824e-04	1.003428e+00	6.296643e-01
6.670968751495824e-04	1.017459e+00	6.305578e-01
6.768625001495824e-04	1.031452e+00	6.314210e-01
6.866281251495824e-04	1.045406e+00	6.322556e-01
6.963937501495824e-04	1.059320e+00	6.330634e-01
7.061593751495824e-04	1.073195e+00	6.338459e-01
7.159250001495825e-04	1.087029e+00	6.346044e-01
7.256906251495825e-04	1.100822e+00	6.353403e-01
7.354562501495825e-04	1.114574e+00	6.360548e-01
7.452218751495825e-04	1.128284e+00	6.367490e-01
7.549875001495825e-04	1.141951e+00	6.374238e-01
7.647531251495825e-04	1.155576e+00	6.380802e-01
7.745187501495825e-04	1.169156e+00	6.387190e-01
7.842843751495825e-04	1.182693e+00	6.393412e-01
7.940500001495825e-04	1.196186e+00	6.399475e-01
8.038156251495825e-04	1.209633e+00	6.405385e-01
8.135812501495825e-04	1.223035e+00	6.411150e-01
8.233468751495826e-04	1.236390e+00	6.416774e-01
8.331125001495826e-04	1.249700e+00	6.422265e-01
8.428781251495826e-04	1.262962e+00	6.427627e-01
8.526437501495826e-04	1.276176e+00	6.432866e-01
8.624093751495826e-04	1.289343e+00	6.437987e-01
8.721750001495826e-04	1.302461e+00	6.442994e-01
8.819406251495826e-04	1.315530e+00	6.447890e-01
8.917062501495826e-04	1.328549e+00	6.452681e-01
9.014718751495826e-04	1.341519e+00	6.457371e-01
9.112375001495826e-04	1.354437e+00	6.461962e-01
9.210031251495826e-04	1.367305e+00	6.466457e-01
9.307687501495826e-04	1.380122e+00	6.470861e-01
9.405343751495827e-04	1.392886e+00	6.475177e-01
9.503000001495827e-04	1.405598e+00	6.479407e-01
9.600656251495827e-04	1.418257e+00	6.483553e-01
9.698312501495827e-04	1.430863e+00	6.487619e-01
9.795968751495827e-04	1.443415e+00	6.491607e-01
9.893625001495827e-04	1.455912e+00	6.495520e-01
9.991281251495827e-04	1.468355e+00	6.499360e-01
1.008893750149583e-03	1.480742e+00	6.503128e-01
1.018659375149583e-03	1.493074e+00	6.506827e-01
1.028425000149583e-03	1.505349e+00	6.510459e-01
1.038190625149583e-03	1.517568e+00	6.514025e-01
1.047956250149583e-03	1.529730e+00	6.517529e-01
1.057721875149583e-03	1.541834e+00	6.520970e-01
1.067487500149583e-03	1.553880e+00	6.524351e-01
1.077253125149583e-03	1.565867e+00	6.527674e-01
1.087018750149583e-03	1.577796e+00	6.530940e-01
1.096784375149583e-03	1.589665e+00	6.534150e-01
1.106550000149583e-03	1.601474e+00	6.537306e-01
1.116315625149583e-03	1.613223e+00	6.540409e-01
1.126081250149583e-03	1.624911e+00	6.543460e-01
1.135846875149583e-03	1.636538e+00	6.546462e-01
1.145612500149583e-03	1.648104e+00	6.549413e-01
1.155378125149583e-03	1.659607e+00	6.552317e-01
1.165143750149583e-03	1.671048e+00	6.555174e-01
1.174909375149583e-03	1.682426e+00	6.557985e-01
1.184675000149583e-03	1.693741e+00	6.560751e-01
1.194440625149583e-03	1.704991e+00	6.563473e-01
1.204206250149583e-03	1.716178e+00	6.566153e-01
1.213971875149583e-03	1.727300e+00	6.568789e-01
1.223737500149583e-03	1.738357e+00	6.571386e-01
1.233503125149583e-03	1.749349e+00	6.573941e-01
1.243268750149583e-03	1.760275e+00	6.576458e-01
1.253034375149583e-03	1.771134e+00	6.578935e-01
1.262800000149583e-03	1.781927e+00	6.581374e-01
1.272565625149583e-03	1.792652e+00	6.583776e-01
1.282331250149583e-03	1.803311e+00	6.586142e-01
1.292096875149583e-03	1.813901e+00	6.588472e-01
1.301862500149583e-03	1.824423e+00	6.590766e-01
1.311628125149583e-03	1.834876e+00	6.593027e-01
1.321393750149583e-03	1.845261e+00	6.595252e-01
1.331159375149583e-03	1.855575e+00	6.597445e-01
1.340925000149583e-03	1.865820e+00	6.599605e-01
1.350690625149583e-03	1.875995e+00	6.601734e-01
1.360456250149583e-03	1.886099e+00	6.603830e-01
1.370221875149583e-03	1.896132e+00	6.605895e-01
1.379987500149583e-03	1.906094e+00	6.607930e-01
1.389753125149583e-03	1.915983e+00	6.609935e-01
1.399518750149583e-03	1.925801e+00	6.611910e-01
1.409284375149583e-03	1.935546e+00	6.613856e-01
1.419050000149583e-03	1.945219e+00	6.615773e-01
1.428815625149583e-03	1.954818e+00	6.617662e-01
1.438581250149583e-03	1.964343e+00	6.619524e-01
1.448346875149583e-03	1.973795e+00	6.621358e-01
1.458112500149583e-03	1.983172e+00	6.623165e-01
1.467878125149583e-03	1.992475e+00	6.624945e-01
1.477643750149583e-03	2.001702e+00	6.626700e-01
1.487409375149583e-03	2.010854e+00	6.628429e-01
1.497175000149583e-03	2.019931e+00	6.630132e-01
1.506940625149583e-03	2.028931e+00	6.631810e-01
1.516706250149583e-03	2.037856e+00	6.633464e-01
1.526471875149583e-03	2.046703e+00	6.635092e-01
1.536237500149583e-03	2.055473e+00	6.636698e-01
1.546003125149583e-03	2.064166e+00	6.638279e-01
1.555768750149583e-03	2.072781e+00	6.639836e-01
1.565534375149583e-03	2.081318e+00	6.641371e-01
1.575300000149583e-03	2.089777e+00	6.642883e-01
1.585065625149583e-03	2.098157e+00	6.644372e-01
1.594831250149583e-03	2.106458e+00	6.645839e-01
1.604596875149583e-03	2.114680e+00	6.647284e-01
1.614362500149583e-03	2.122822e+00	6.648707e-01
1.624128125149583e-03	2.130884e+00	6.650109e-01
1.633893750149583e-03	2.138866e+00	6.651489e-01
1.643659375149583e-03	2.146768e+00	6.652849e-01
1.653425000149583e-03	2.154589e+00	6.654187e-01
1.663190625149583e-03	2.162328e+00	6.655505e-01
1.672956250149583e-03	2.169986e+00	6.656803e-01
1.682721875149583e-03	2.177563e+00	6.658080e-01
1.692487500149583e-03	2.185057e+00	6.659338e-01
1.702253125149583e-03	2.192470e+00	6.660576e-01
1.712018750149583e-03	2.199799e+00	6.661795e-01
1.721784375149583e-03	2.207046e+00	6.662994e-01
1.731550000149583e-03	2.214210e+00	6.664174e-01
1.741315625149583e-03	2.221290e+00	6.665335e-01
1.751081250149583e-03	2.228287e+00	6.666477e-01
1.760846875149583e-03	2.235200e+00	6.667601e-01
1.770612500149583e-03	2.242028e+00	6.668707e-01
1.780378125149583e-03	2.248773e+00	6.669794e-01
1.790143750149583e-03	2.255432e+00	6.670864e-01
1.799909375149583e-03	2.262007e+00	6.671915e-01
1.809675000149583e-03	2.268497e+00	6.672949e-01
1.819440625149583e-03	2.274901e+00	6.673964e-01
1.829206250149583e-03	2.281219e+00	6.674963e-01
1.838971875149583e-03	2.287452e+00	6.675944e-01
1.848737500149583e-03	2.293598e+00	6.676909e-01
1.858503125149583e-03	2.299658e+00	6.677856e-01
1.868268750149583e-03	2.305632e+00	6.678786e-01
1.878034375149583e-03	2.311519e+00	6.679700e-01
1.887800000149583e-03	2.317318e+00	6.680597e-01
1.897565625149584e-03	2.323031e+00	6.681477e-01
1.907331250149584e-03	2.328656e+00	6.682342e-01
1.917096875149584e-03	2.334193e+00	6.683190e-01
1.926862500149584e-03	2.339643e+00	6.684022e-01
1.936628125149584e-03	2.345004e+00	6.684837e-01
1.946393750149584e-03	2.350277e+00	6.685637e-01
1.956159375149584e-03	2.355462e+00	6.686422e-01
1.965925000149583e-03	2.360558e+00	6.687190e-01
1.975690625149583e-03	2.365565e+00	6.687943e-01
1.985456250149583e-03	2.370482e+00	6.688680e-01
1.995221875149583e-03	2.375311e+00	6.689402e-01
2.004987500149583e-03	2.380051e+00	6.690109e-01
2.014753125149582e-03	2.384700e+00	6.690801e-01
2.024518750149582e-03	2.389260e+00	6.691477e-01
2.034284375149582e-03	2.393730e+00	6.692138e-01
2.044050000149582e-03	2.398110e+00	6.692784e-01
2.053815625149581e-03	2.402400e+00	6.693416e-01
2.063581250149581e-03	2.406599e+00	6.694033e-01
2.073346875149581e-03	2.410707e+00	6.694635e-01
2.083112500149581e-03	2.414725e+00	6.695222e-01
2.092878125149581e-03	2.418652e+00	6.695795e-01
2.102643750149580e-03	2.422487e+00	6.696354e-01
2.112409375149580e-03	2.426232e+00	6.696898e-01
2.122175000149580e-03	2.429885e+00	6.697427e-01
2.131940625149580e-03	2.433447e+00	6.697943e-01
2.141706250149580e-03	2.436917e+00	6.698443e-01
2.151471875149579e-03	2.440295e+00	6.698930e-01
2.161237500149579e-03	2.443582e+00	6.699403e-01
2.171003125149579e-03	2.446776e+00	6.699862e-01
2.180768750149579e-03	2.449878e+00	6.700307e-01
2.190534375149579e-03	2.452889e+00	6.700737e-01
