time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	2.000000e+00	1.999999e+00
1.008018525791603e-09	2.000000e+00	1.999999e+00
1.024055633938672e-09	2.000000e+00	1.999999e+00
1.056129850232810e-09	2.000000e+00	1.999999e+00
1.120278282821086e-09	2.000000e+00	1.999999e+00
1.248575147997638e-09	2.000000e+00	1.999999e+00
1.505168878350742e-09	2.000000e+00	1.999999e+00
2.018356339056949e-09	2.000000e+00	1.999999e+00
3.044731260469363e-09	2.000000e+00	1.999999e+00
5.097481103294193e-09	2.000000e+00	1.999999e+00
9.202980788943851e-09	2.000000e+00	1.999999e+00
1.741398016024317e-08	2.000000e+00	1.999999e+00
3.383597890284180e-08	2.000000e+00	1.999998e+00
6.667997638803907e-08	2.000000e+00	1.999998e+00
1.323679713584336e-07	2.000000e+00	1.999998e+00
2.020212784637640e-07	2.000000e+00	1.999998e+00
2.947274970689366e-07	2.000000e+00	1.999997e+00
4.183990238391050e-07	2.000000e+00	1.999997e+00
6.545428874436232e-07	2.000000e+00	1.999996e+00
1.105447118446010e-06	2.000000e+00	1.999994e+00
2.007255580450783e-06	2.000000e+00	1.999990e+00
3.810872504460330e-06	2.000000e+00	1.999982e+00
7.418106352479423e-06	2.000000e+00	1.999967e+00
1.463257404851761e-05	2.000000e+00	1.999936e+00
2.906150944059398e-05	2.000000e+00	1.999875e+00
5.791938022474673e-05	2.000000e+00	1.999752e+00
1.156351217930522e-04	2.000000e+00	1.999507e+00
1.535938947937675e-04	2.000000e+00	1.999345e+00
1.843031991936053e-04	2.000000e+00	1.999215e+00
2.073149616628715e-04	2.000000e+00	1.999117e+00
2.274872344556317e-04	2.000000e+00	1.999031e+00
2.464768012122977e-04	2.000000e+00	1.998950e+00
2.650000881693728e-04	2.000000e+00	1.998871e+00
2.843133695182451e-04	2.000000e+00	1.998789e+00
3.026228281372371e-04	2.000000e+00	1.998711e+00
3.212530401303505e-04	2.000000e+00	1.998632e+00
3.394156396954277e-04	2.000000e+00	1.998555e+00
3.577743772402675e-04	2.000000e+00	1.998477e+00
3.759746311719416e-04	2.000000e+00	1.998399e+00
3.943533635019336e-04	2.000000e+00	1.998321e+00
4.127889123697577e-04	2.000000e+00	1.998243e+00
4.315505062364739e-04	2.000000e+00	1.998163e+00
4.508111736299255e-04	2.000000e+00	1.998081e+00
4.711975307980127e-04	2.000000e+00	1.997995e+00
4.940111352521020e-04	2.000000e+00	1.997898e+00
5.229388029884180e-04	2.000000e+00	1.997775e+00
5.536216339317140e-04	2.000000e+00	1.997644e+00
5.843912440768866e-04	2.000000e+00	1.997513e+00
6.244463477024777e-04	2.000000e+00	1.997343e+00
6.733728607703530e-04	2.000000e+00	1.997135e+00
7.286011196796810e-04	2.000000e+00	1.996901e+00
8.170063124801950e-04	2.000000e+00	1.996525e+00
9.779721852476845e-04	2.000000e+00	1.995841e+00
1.173284685247684e-03	2.000000e+00	1.995012e+00
1.368597185247684e-03	2.000000e+00	1.994183e+00
1.563909685247684e-03	2.000000e+00	1.993355e+00
1.759222185247684e-03	2.000000e+00	1.992527e+00
1.954534685247685e-03	2.000000e+00	1.991699e+00
2.149847185247685e-03	2.000000e+00	1.990871e+00
2.345159685247685e-03	2.000000e+00	1.990044e+00
2.540472185247685e-03	2.000000e+00	1.989217e+00
2.715898868626151e-03	2.000000e+00	1.988475e+00
2.889646919731374e-03	2.000000e+00	1.987740e+00
3.006613633638086e-03	2.000000e+00	1.987245e+00
3.083754008260699e-03	2.000000e+00	1.986919e+00
3.161687497766667e-03	2.000000e+00	1.986590e+00
3.256071020544291e-03	2.000000e+00	1.986191e+00
3.387707180069001e-03	2.000000e+00	1.985635e+00
3.583019680069001e-03	2.000000e+00	1.984810e+00
3.778332180069001e-03	2.000000e+00	1.983985e+00
3.898869477361401e-03	2.000000e+00	1.983476e+00
3.966672843139937e-03	2.000000e+00	1.983190e+00
4.003715807950300e-03	2.000000e+00	1.983034e+00
4.027895526938103e-03	2.000000e+00	1.982932e+00
4.044793074813909e-03	2.000000e+00	1.982861e+00
4.059698976302692e-03	2.000000e+00	1.982798e+00
4.075778775608400e-03	2.000000e+00	1.982730e+00
