time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.570796e-06	4.634219e-23
1.008018525791603e-09	1.583392e-06	4.671676e-23
1.024055633938672e-09	1.608583e-06	4.747188e-23
1.056129850232810e-09	1.658965e-06	4.901786e-23
1.120278282821086e-09	1.759729e-06	5.225285e-23
1.248575147997638e-09	1.961257e-06	5.929491e-23
1.505168878350742e-09	2.364314e-06	7.566741e-23
2.018356339056949e-09	3.170427e-06	1.175658e-22
3.044731260469363e-09	4.782652e-06	2.379756e-22
5.097481103294193e-09	8.007105e-06	6.252446e-22
9.202980788943851e-09	1.445601e-05	1.985555e-21
1.741398016024317e-08	2.735382e-05	7.049059e-21
3.383597890284180e-08	5.314943e-05	2.654597e-20
6.667997638803907e-08	1.047407e-04	1.030064e-19
1.323679713584336e-07	2.079231e-04	4.056901e-19
2.020212784637640e-07	3.173343e-04	9.445858e-19
2.947274970689366e-07	4.629569e-04	2.009353e-18
4.183990238391050e-07	6.572196e-04	4.046603e-18
6.545428874436232e-07	1.028154e-03	9.889852e-18
1.105447118446010e-06	1.736432e-03	2.813516e-17
2.007255580450783e-06	3.152989e-03	9.228223e-17
3.810872504460330e-06	5.986099e-03	3.293004e-16
7.418106352479423e-06	1.165229e-02	1.224637e-15
1.463257404851761e-05	2.298447e-02	4.613245e-15
2.906150944059398e-05	4.564717e-02	1.732407e-14
5.791938022474673e-05	9.095947e-02	6.478500e-14
1.156351217930522e-04	1.814795e-01	2.441518e-13
1.535938947937675e-04	2.408904e-01	4.227813e-13
1.843031991936053e-04	2.888562e-01	6.023767e-13
2.073149616628715e-04	3.247294e-01	7.574787e-13
2.274872344556317e-04	3.561206e-01	9.078762e-13
2.464768012122977e-04	3.856191e-01	1.061756e-12
2.650000881693728e-04	4.143404e-01	1.223328e-12
2.843133695182451e-04	4.442269e-01	1.403832e-12
3.026228281372371e-04	4.724996e-01	1.586279e-12
3.212530401303505e-04	5.012034e-01	1.783208e-12
3.394156396954277e-04	5.291207e-01	1.986125e-12
3.577743772402675e-04	5.572694e-01	2.202161e-12
3.759746311719416e-04	5.851020e-01	2.427127e-12
3.943533635019336e-04	6.131298e-01	2.665127e-12
4.127889123697577e-04	6.411621e-01	2.914664e-12
4.315505062364739e-04	6.696019e-01	3.179473e-12
4.508111736299255e-04	6.987013e-01	3.462244e-12
4.711975307980127e-04	7.293898e-01	3.772625e-12
4.940111352521020e-04	7.635902e-01	4.131455e-12
5.229388029884180e-04	8.067297e-01	4.599205e-12
5.536216339317140e-04	8.521951e-01	5.104847e-12
5.843912440768866e-04	8.974711e-01	5.616593e-12
6.244463477024777e-04	9.559050e-01	6.285164e-12
6.733728607703530e-04	1.026456e+00	7.102613e-12
7.286011196796810e-04	1.104925e+00	8.025030e-12
8.170063124801950e-04	1.227724e+00	9.499970e-12
9.779721852476845e-04	1.441330e+00	1.217940e-11
1.299903930782663e-03	1.822318e+00	1.750757e-11
1.788185180782663e-03	2.254103e+00	2.547024e-11
2.276466430782663e-03	2.475383e+00	3.317854e-11
2.566455409463868e-03	2.497821e+00	3.753642e-11
2.758198442442025e-03	2.467174e+00	4.024816e-11
2.968539879331247e-03	2.392447e+00	4.294711e-11
3.054842545180794e-03	2.349614e+00	4.394266e-11
3.126882279600451e-03	2.308566e+00	4.470915e-11
3.198857399250228e-03	2.262831e+00	4.540843e-11
3.298667875744588e-03	2.191774e+00	4.625410e-11
3.444444008360420e-03	2.072594e+00	4.719416e-11
3.704930399210684e-03	1.817111e+00	4.780313e-11
3.884236774803333e-03	1.612560e+00	-3.559638e-11
3.980205442455749e-03	1.494504e+00	-5.935624e-09
4.030805869729479e-03	1.430042e+00	-4.793204e-08
4.059297729660660e-03	1.393105e+00	-1.615035e-07
4.078684334446765e-03	1.367716e+00	-3.903586e-07
4.094096109811575e-03	1.347388e+00	-8.131504e-07
4.108493055783927e-03	1.328284e+00	-1.652301e-06
4.123700208590531e-03	1.307987e+00	-3.566527e-06
