time	V(vi)	V(vo)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.765625114122045e-11	4.601942e-07	1.473294e-09
1.953125022824409e-10	9.203885e-07	3.429329e-09
3.906250045648818e-10	1.840777e-06	8.305864e-09
7.812500091297636e-10	3.681554e-06	2.383357e-08
1.562500018259527e-09	7.363108e-06	7.786632e-08
3.125000036519054e-09	1.472622e-05	2.768811e-07
6.250000073038109e-09	2.945243e-05	1.031170e-06
1.250000014607622e-08	5.890486e-05	3.906689e-06
2.500000029215244e-08	1.178097e-04	1.469379e-05
5.000000058430487e-08	2.356194e-04	5.342017e-05
8.767790176809624e-08	4.131724e-04	1.452730e-04
1.286660282062954e-07	6.063243e-04	2.775904e-04
1.923631091551004e-07	9.064898e-04	5.229452e-04
2.750352797740133e-07	1.296073e-03	8.802278e-04
4.068081603819017e-07	1.917038e-03	1.484508e-03
6.015213963167561e-07	2.834603e-03	2.398574e-03
9.679346905253118e-07	4.561285e-03	4.125323e-03
1.700761278942423e-06	8.014647e-03	7.578555e-03
3.166414455776646e-06	1.492137e-02	1.448513e-02
6.097720809445091e-06	2.873476e-02	2.829814e-02
1.196033351678198e-05	5.636121e-02	5.592386e-02
2.172595851678198e-05	1.023780e-01	1.019391e-01
3.149158351678199e-05	1.483909e-01	1.479502e-01
4.125720851678199e-05	1.943982e-01	1.939548e-01
5.102283351678199e-05	2.403983e-01	2.399511e-01
6.078845851678199e-05	2.863892e-01	2.859369e-01
7.055408351678199e-05	3.323694e-01	3.319099e-01
8.031970851678199e-05	3.783371e-01	3.778678e-01
9.008533351678198e-05	4.242905e-01	4.238082e-01
9.985095851678198e-05	4.702279e-01	4.697288e-01
1.096165835167820e-04	5.161477e-01	5.156280e-01
1.193822085167820e-04	5.620480e-01	5.615043e-01
1.291478335167820e-04	6.079271e-01	6.073573e-01
1.389134585167820e-04	6.537834e-01	6.531870e-01
1.486790835167820e-04	6.996151e-01	6.989939e-01
1.584447085167820e-04	7.454204e-01	7.447779e-01
1.682103335167820e-04	7.911976e-01	7.905385e-01
1.779759585167820e-04	8.369451e-01	8.362742e-01
1.877415835167820e-04	8.826610e-01	8.819830e-01
1.975072085167820e-04	9.283437e-01	9.276624e-01
2.072728335167820e-04	9.739915e-01	9.733099e-01
2.170384585167820e-04	1.019603e+00	1.018923e+00
2.268040835167821e-04	1.065175e+00	1.064499e+00
2.365697085167821e-04	1.110708e+00	1.110036e+00
2.463353335167820e-04	1.156199e+00	1.155533e+00
2.561009585167820e-04	1.201646e+00	1.200986e+00
2.658665835167821e-04	1.247048e+00	1.246394e+00
2.756322085167821e-04	1.292403e+00	1.291755e+00
2.853978335167821e-04	1.337709e+00	1.337067e+00
2.951634585167821e-04	1.382965e+00	1.382329e+00
3.049290835167821e-04	1.428169e+00	1.427539e+00
3.146947085167821e-04	1.473320e+00	1.472696e+00
3.244603335167821e-04	1.518414e+00	1.517796e+00
3.342259585167821e-04	1.563452e+00	1.562839e+00
3.439915835167821e-04	1.608431e+00	1.607824e+00
3.537572085167821e-04	1.653349e+00	1.652747e+00
3.635228335167821e-04	1.698205e+00	1.697608e+00
3.732884585167822e-04	1.742997e+00	1.742406e+00
3.830540835167822e-04	1.787723e+00	1.787137e+00
3.928197085167822e-04	1.832382e+00	1.831801e+00
4.025853335167822e-04	1.876972e+00	1.876396e+00
4.123509585167822e-04	1.921491e+00	1.920920e+00
4.221165835167822e-04	1.965938e+00	1.965372e+00
4.318822085167822e-04	2.010311e+00	2.009749e+00
4.416478335167822e-04	2.054609e+00	2.054051e+00
4.514134585167822e-04	2.098829e+00	2.098275e+00
4.611790835167822e-04	2.142970e+00	2.142421e+00
4.709447085167822e-04	2.187030e+00	2.186485e+00
4.807103335167822e-04	2.231008e+00	2.230467e+00
4.904759585167822e-04	2.274902e+00	2.274365e+00
5.002415835167822e-04	2.318710e+00	2.318178e+00
5.100072085167822e-04	2.362431e+00	2.361903e+00
5.197728335167822e-04	2.406063e+00	2.405539e+00
5.295384585167822e-04	2.449605e+00	2.449084e+00
5.393040835167822e-04	2.493054e+00	2.492537e+00
5.490697085167823e-04	2.536409e+00	2.535896e+00
5.588353335167823e-04	2.579669e+00	2.579159e+00
5.686009585167823e-04	2.622832e+00	2.622326e+00
5.783665835167823e-04	2.665896e+00	2.665393e+00
5.881322085167823e-04	2.708859e+00	2.708360e+00
5.978978335167823e-04	2.751721e+00	2.751225e+00
6.076634585167823e-04	2.794479e+00	2.793986e+00
6.174290835167823e-04	2.837132e+00	2.836642e+00
