Vgs	V(vds)	V(vgs)	Id(M1)
0.000000000000000e+00	5.000000e+00	0.000000e+00	5.010000e-12
1.000000000000000e-01	5.000000e+00	1.000000e-01	5.010000e-12
2.000000000000000e-01	5.000000e+00	2.000000e-01	5.010000e-12
3.000000000000000e-01	5.000000e+00	3.000000e-01	5.010000e-12
4.000000000000000e-01	5.000000e+00	4.000000e-01	5.010000e-12
5.000000000000000e-01	5.000000e+00	5.000000e-01	5.010000e-12
6.000000000000001e-01	5.000000e+00	6.000000e-01	5.010000e-12
7.000000000000001e-01	5.000000e+00	7.000000e-01	5.010000e-12
8.000000000000000e-01	5.000000e+00	8.000000e-01	5.010000e-12
9.000000000000000e-01	5.000000e+00	9.000000e-01	5.010001e-12
1.000000000000000e+00	5.000000e+00	1.000000e+00	5.010010e-12
1.100000000000000e+00	5.000000e+00	1.100000e+00	5.010165e-12
1.200000000000000e+00	5.000000e+00	1.200000e+00	5.012610e-12
1.300000000000000e+00	5.000000e+00	1.300000e+00	5.051408e-12
1.400000000000000e+00	5.000000e+00	1.400000e+00	5.665373e-12
1.500000000000000e+00	5.000000e+00	1.500000e+00	1.528611e-11
1.600000000000000e+00	5.000000e+00	1.600000e+00	1.606216e-10
1.700000000000000e+00	5.000000e+00	1.700000e+00	2.120320e-09
1.800000000000000e+00	5.000000e+00	1.800000e+00	2.338840e-08
1.900000000000000e+00	5.000000e+00	1.900000e+00	1.790015e-07
2.000000000000000e+00	5.000000e+00	2.000000e+00	7.071719e-07
2.100000000000000e+00	5.000000e+00	2.100000e+00	1.664163e-06
2.200000000000000e+00	5.000000e+00	2.200000e+00	2.981802e-06
2.300000000000000e+00	5.000000e+00	2.300000e+00	4.624018e-06
2.400000000000000e+00	5.000000e+00	2.400000e+00	6.577633e-06
2.500000000000000e+00	5.000000e+00	2.500000e+00	8.833525e-06
2.600000000000000e+00	5.000000e+00	2.600000e+00	1.138220e-05
2.700000000000000e+00	5.000000e+00	2.700000e+00	1.421377e-05
2.800000000000000e+00	5.000000e+00	2.800000e+00	1.731837e-05
2.900000000000000e+00	5.000000e+00	2.900000e+00	2.068644e-05
3.000000000000000e+00	5.000000e+00	3.000000e+00	2.430877e-05
3.100000000000000e+00	5.000000e+00	3.100000e+00	2.817655e-05
3.200000000000000e+00	5.000000e+00	3.200000e+00	3.228134e-05
3.300000000000000e+00	5.000000e+00	3.300000e+00	3.661507e-05
3.400000000000000e+00	5.000000e+00	3.400000e+00	4.116997e-05
3.500000000000000e+00	5.000000e+00	3.500000e+00	4.593864e-05
3.600000000000000e+00	5.000000e+00	3.600000e+00	5.091393e-05
3.700000000000000e+00	5.000000e+00	3.700000e+00	5.608900e-05
3.800000000000000e+00	5.000000e+00	3.800000e+00	6.145728e-05
3.900000000000000e+00	5.000000e+00	3.900000e+00	6.701244e-05
4.000000000000000e+00	5.000000e+00	4.000000e+00	7.274839e-05
4.100000000000001e+00	5.000000e+00	4.100000e+00	7.865929e-05
4.200000000000000e+00	5.000000e+00	4.200000e+00	8.473951e-05
4.300000000000000e+00	5.000000e+00	4.300000e+00	9.098359e-05
4.400000000000000e+00	5.000000e+00	4.400000e+00	9.738634e-05
4.500000000000000e+00	5.000000e+00	4.500000e+00	1.039427e-04
4.600000000000001e+00	5.000000e+00	4.600000e+00	1.106477e-04
4.700000000000000e+00	5.000000e+00	4.700000e+00	1.174968e-04
4.800000000000001e+00	5.000000e+00	4.800000e+00	1.244854e-04
4.900000000000000e+00	5.000000e+00	4.900000e+00	1.316091e-04
5.000000000000000e+00	5.000000e+00	5.000000e+00	1.388637e-04
