Vgs	V(vds)	V(vgs)	Id(M1)
0.000000000000000e+00	-5.000000e+00	0.000000e+00	-5.381011e-23
-1.000000000000000e-01	-5.000000e+00	-1.000000e-01	-2.246543e-22
-2.000000000000000e-01	-5.000000e+00	-2.000000e-01	-9.379197e-22
-3.000000000000000e-01	-5.000000e+00	-3.000000e-01	-3.915764e-21
-4.000000000000000e-01	-5.000000e+00	-4.000000e-01	-1.634809e-20
-5.000000000000000e-01	-5.000000e+00	-5.000000e-01	-6.825231e-20
-6.000000000000001e-01	-5.000000e+00	-6.000000e-01	-2.849488e-19
-7.000000000000001e-01	-5.000000e+00	-7.000000e-01	-1.189638e-18
-8.000000000000000e-01	-5.000000e+00	-8.000000e-01	-4.966600e-18
-9.000000000000000e-01	-5.000000e+00	-9.000000e-01	-2.073467e-17
-1.000000000000000e+00	-5.000000e+00	-1.000000e+00	-8.656084e-17
-1.100000000000000e+00	-5.000000e+00	-1.100000e+00	-3.613416e-16
-1.200000000000000e+00	-5.000000e+00	-1.200000e+00	-1.508196e-15
-1.300000000000000e+00	-5.000000e+00	-1.300000e+00	-6.293335e-15
-1.400000000000000e+00	-5.000000e+00	-1.400000e+00	-2.624617e-14
-1.500000000000000e+00	-5.000000e+00	-1.500000e+00	-1.093379e-13
-1.600000000000000e+00	-5.000000e+00	-1.600000e+00	-4.544769e-13
-1.700000000000000e+00	-5.000000e+00	-1.700000e+00	-1.880824e-12
-1.800000000000000e+00	-5.000000e+00	-1.800000e+00	-7.718707e-12
-1.900000000000000e+00	-5.000000e+00	-1.900000e+00	-3.120861e-11
-2.000000000000000e+00	-5.000000e+00	-2.000000e+00	-1.233836e-10
-2.100000000000000e+00	-5.000000e+00	-2.100000e+00	-4.772101e-10
-2.200000000000000e+00	-5.000000e+00	-2.200000e+00	-1.850038e-09
-2.300000000000000e+00	-5.000000e+00	-2.300000e+00	-7.348032e-09
-2.400000000000000e+00	-5.000000e+00	-2.400000e+00	-2.775919e-08
-2.500000000000000e+00	-5.000000e+00	-2.500000e+00	-8.647471e-08
-2.600000000000000e+00	-5.000000e+00	-2.600000e+00	-2.071989e-07
-2.700000000000000e+00	-5.000000e+00	-2.700000e+00	-3.926990e-07
-2.800000000000000e+00	-5.000000e+00	-2.800000e+00	-6.284725e-07
-2.900000000000000e+00	-5.000000e+00	-2.900000e+00	-9.003799e-07
-3.000000000000000e+00	-5.000000e+00	-3.000000e+00	-1.201534e-06
-3.100000000000000e+00	-5.000000e+00	-3.100000e+00	-1.530274e-06
-3.200000000000000e+00	-5.000000e+00	-3.200000e+00	-1.887088e-06
-3.300000000000000e+00	-5.000000e+00	-3.300000e+00	-2.272910e-06
-3.400000000000000e+00	-5.000000e+00	-3.400000e+00	-2.688480e-06
-3.500000000000000e+00	-5.000000e+00	-3.500000e+00	-3.134206e-06
-3.600000000000000e+00	-5.000000e+00	-3.600000e+00	-3.610204e-06
-3.700000000000000e+00	-5.000000e+00	-3.700000e+00	-4.116383e-06
-3.800000000000000e+00	-5.000000e+00	-3.800000e+00	-4.652516e-06
-3.900000000000000e+00	-5.000000e+00	-3.900000e+00	-5.218289e-06
-4.000000000000000e+00	-5.000000e+00	-4.000000e+00	-5.813341e-06
-4.100000000000001e+00	-5.000000e+00	-4.100000e+00	-6.437288e-06
-4.200000000000000e+00	-5.000000e+00	-4.200000e+00	-7.089731e-06
-4.300000000000000e+00	-5.000000e+00	-4.300000e+00	-7.770268e-06
-4.400000000000000e+00	-5.000000e+00	-4.400000e+00	-8.478500e-06
-4.500000000000000e+00	-5.000000e+00	-4.500000e+00	-9.214027e-06
-4.600000000000001e+00	-5.000000e+00	-4.600000e+00	-9.976460e-06
-4.700000000000000e+00	-5.000000e+00	-4.700000e+00	-1.076541e-05
-4.800000000000001e+00	-5.000000e+00	-4.800000e+00	-1.158050e-05
-4.900000000000000e+00	-5.000000e+00	-4.900000e+00	-1.242134e-05
-5.000000000000000e+00	-5.000000e+00	-5.000000e+00	-1.328758e-05
