Vce	V(vbe)	V(vce)	Ib(Q1)	Ic(Q1)
Step Information: Vbe=600m  (Step: 1/3)
0.000000000000000e+00	6.000000e-01	0.000000e+00	8.629672e-04	-8.295850e-04
1.000000000000000e-01	6.000000e-01	1.000000e-01	2.727188e-05	8.882094e-05
2.000000000000000e-01	6.000000e-01	2.000000e-01	2.092208e-06	1.166312e-04
3.000000000000000e-01	6.000000e-01	3.000000e-01	1.559184e-06	1.173359e-04
4.000000000000000e-01	6.000000e-01	4.000000e-01	1.548018e-06	1.174666e-04
5.000000000000000e-01	6.000000e-01	5.000000e-01	1.547784e-06	1.175852e-04
6.000000000000001e-01	6.000000e-01	6.000000e-01	1.547779e-06	1.177037e-04
7.000000000000001e-01	6.000000e-01	7.000000e-01	1.547779e-06	1.178221e-04
8.000000000000000e-01	6.000000e-01	8.000000e-01	1.547779e-06	1.179405e-04
9.000000000000000e-01	6.000000e-01	9.000000e-01	1.547778e-06	1.180589e-04
1.000000000000000e+00	6.000000e-01	1.000000e+00	1.547778e-06	1.181773e-04
1.100000000000000e+00	6.000000e-01	1.100000e+00	1.547778e-06	1.182957e-04
1.200000000000000e+00	6.000000e-01	1.200000e+00	1.547778e-06	1.184141e-04
1.300000000000000e+00	6.000000e-01	1.300000e+00	1.547778e-06	1.185326e-04
1.400000000000000e+00	6.000000e-01	1.400000e+00	1.547778e-06	1.186510e-04
1.500000000000000e+00	6.000000e-01	1.500000e+00	1.547778e-06	1.187694e-04
1.600000000000000e+00	6.000000e-01	1.600000e+00	1.547778e-06	1.188878e-04
1.700000000000000e+00	6.000000e-01	1.700000e+00	1.547778e-06	1.190062e-04
1.800000000000000e+00	6.000000e-01	1.800000e+00	1.547778e-06	1.191246e-04
1.900000000000000e+00	6.000000e-01	1.900000e+00	1.547777e-06	1.192430e-04
2.000000000000000e+00	6.000000e-01	2.000000e+00	1.547777e-06	1.193615e-04
Step Information: Vbe=700m  (Step: 2/3)
0.000000000000000e+00	7.000000e-01	0.000000e+00	8.870862e-03	-4.812316e-03
1.000000000000000e-01	7.000000e-01	1.000000e-01	2.694053e-03	2.072205e-03
2.000000000000000e-01	7.000000e-01	2.000000e-01	2.118547e-04	4.863494e-03
3.000000000000000e-01	7.000000e-01	3.000000e-01	5.257130e-05	5.047885e-03
4.000000000000000e-01	7.000000e-01	4.000000e-01	4.898451e-05	5.057031e-03
5.000000000000000e-01	7.000000e-01	5.000000e-01	4.890914e-05	5.062224e-03
6.000000000000001e-01	7.000000e-01	6.000000e-01	4.890756e-05	5.067335e-03
7.000000000000001e-01	7.000000e-01	7.000000e-01	4.890752e-05	5.072442e-03
8.000000000000000e-01	7.000000e-01	8.000000e-01	4.890752e-05	5.077551e-03
9.000000000000000e-01	7.000000e-01	9.000000e-01	4.890752e-05	5.082659e-03
1.000000000000000e+00	7.000000e-01	1.000000e+00	4.890752e-05	5.087767e-03
1.100000000000000e+00	7.000000e-01	1.100000e+00	4.890752e-05	5.092876e-03
1.200000000000000e+00	7.000000e-01	1.200000e+00	4.890752e-05	5.097983e-03
1.300000000000000e+00	7.000000e-01	1.300000e+00	4.890752e-05	5.103092e-03
1.400000000000000e+00	7.000000e-01	1.400000e+00	4.890752e-05	5.108200e-03
1.500000000000000e+00	7.000000e-01	1.500000e+00	4.890752e-05	5.113308e-03
1.600000000000000e+00	7.000000e-01	1.600000e+00	4.890752e-05	5.118416e-03
1.700000000000000e+00	7.000000e-01	1.700000e+00	4.890752e-05	5.123524e-03
1.800000000000000e+00	7.000000e-01	1.800000e+00	4.890752e-05	5.128633e-03
1.900000000000000e+00	7.000000e-01	1.900000e+00	4.890752e-05	5.133741e-03
2.000000000000000e+00	7.000000e-01	2.000000e+00	4.890752e-05	5.138849e-03
Step Information: Vbe=800m  (Step: 3/3)
0.000000000000000e+00	8.000000e-01	0.000000e+00	9.292082e-02	-8.778536e-03
1.000000000000000e-01	8.000000e-01	1.000000e-01	8.392657e-02	9.520563e-04
2.000000000000000e-01	8.000000e-01	2.000000e-01	7.497054e-02	1.065264e-02
3.000000000000000e-01	8.000000e-01	3.000000e-01	6.605981e-02	2.031581e-02
4.000000000000000e-01	8.000000e-01	4.000000e-01	5.720429e-02	2.993103e-02
5.000000000000000e-01	8.000000e-01	5.000000e-01	4.841859e-02	3.948273e-02
6.000000000000001e-01	8.000000e-01	6.000000e-01	3.972542e-02	4.894644e-02
7.000000000000001e-01	8.000000e-01	7.000000e-01	3.116317e-02	5.828071e-02
8.000000000000000e-01	8.000000e-01	8.000000e-01	2.280401e-02	6.740727e-02
9.000000000000000e-01	8.000000e-01	9.000000e-01	1.480743e-02	7.615291e-02
