time	V(vds)	V(vgs)	V(vo)	Id(M1)
0.000000000000000e+00	1.154210e+01	0.000000e+00	5.424785e-12	9.686006e-04
4.882812557061023e-11	1.154210e+01	6.611423e-10	-4.749828e-07	9.686005e-04
9.765625114122045e-11	1.154210e+01	2.973441e-09	-4.979237e-07	9.686006e-04
1.953125022824409e-10	1.154210e+01	6.136372e-09	-4.958720e-07	9.686006e-04
3.906250045648818e-10	1.154210e+01	1.196616e-08	-6.801869e-07	9.686005e-04
7.812500091297636e-10	1.154210e+01	2.503894e-08	2.681279e-07	9.686006e-04
8.789062602709841e-10	1.154210e+01	2.624440e-08	-1.088418e-06	9.686005e-04
1.074218762553425e-09	1.154210e+01	3.505454e-08	-7.355419e-07	9.686006e-04
1.464843767118307e-09	1.154210e+01	4.468700e-08	1.783783e-07	9.686006e-04
2.246093776248070e-09	1.154210e+01	7.117799e-08	-1.913212e-07	9.686006e-04
3.808593794507598e-09	1.154210e+01	1.180810e-07	1.634966e-07	9.686006e-04
6.933593831026652e-09	1.154210e+01	2.176438e-07	-2.075127e-07	9.686006e-04
1.318359390406476e-08	1.154210e+01	4.111671e-07	-3.787303e-08	9.686006e-04
2.568359405014098e-08	1.154210e+01	8.037533e-07	-2.564553e-07	9.686007e-04
5.068359434229341e-08	1.154210e+01	1.583405e-06	-4.358183e-07	9.686007e-04
1.006835949265983e-07	1.154210e+01	3.148224e-06	-9.705216e-07	9.686009e-04
2.006835960952080e-07	1.154209e+01	6.272347e-06	-1.796354e-06	9.686013e-04
4.006835984324275e-07	1.154209e+01	1.252609e-05	-3.730594e-06	9.686020e-04
8.006836031068665e-07	1.154209e+01	2.502800e-05	-7.316703e-06	9.686034e-04
1.600683612455744e-06	1.154208e+01	5.003674e-05	-1.476179e-05	9.686062e-04
3.200683631153500e-06	1.154207e+01	1.000442e-04	-2.938232e-05	9.686117e-04
6.400683668549012e-06	1.154204e+01	2.000286e-04	-5.887887e-05	9.686229e-04
1.128349616854901e-05	1.154199e+01	3.524174e-04	-1.036111e-04	9.686400e-04
1.616630866854901e-05	1.154195e+01	5.044765e-04	-1.484224e-04	9.686570e-04
2.104912116854901e-05	1.154190e+01	6.560556e-04	-1.929143e-04	9.686739e-04
