time	V(vds)	V(vgs)	V(vo)	Id(M1)
0.000000000000000e+00	1.405439e+01	0.000000e+00	6.605565e-12	1.117737e-03
4.882812557061023e-11	1.405439e+01	8.911691e-10	-3.449927e-07	1.117737e-03
9.765625114122045e-11	1.405439e+01	2.973443e-09	-3.700337e-07	1.117737e-03
1.953125022824409e-10	1.405439e+01	6.174348e-09	-3.465203e-07	1.117737e-03
3.906250045648818e-10	1.405439e+01	1.238483e-08	-1.959683e-08	1.117737e-03
7.812500091297636e-10	1.405439e+01	2.407733e-08	-2.913369e-07	1.117737e-03
1.562500018259527e-09	1.405439e+01	4.918041e-08	-9.320514e-08	1.117737e-03
3.125000036519054e-09	1.405439e+01	9.730870e-08	-1.286474e-08	1.117737e-03
6.250000073038109e-09	1.405439e+01	1.956993e-07	-2.238178e-08	1.117737e-03
1.250000014607622e-08	1.405439e+01	3.903684e-07	-3.547417e-08	1.117737e-03
2.500000029215244e-08	1.405439e+01	7.818167e-07	-8.499973e-08	1.117737e-03
5.000000058430487e-08	1.405439e+01	1.562605e-06	-1.629932e-07	1.117737e-03
1.000000011686097e-07	1.405439e+01	3.126288e-06	-3.258276e-07	1.117737e-03
2.000000023372195e-07	1.405439e+01	6.251546e-06	-6.358979e-07	1.117737e-03
4.000000046744390e-07	1.405439e+01	1.250416e-05	-1.290346e-06	1.117738e-03
8.000000093488779e-07	1.405439e+01	2.500720e-05	-2.564283e-06	1.117740e-03
1.600000018697756e-06	1.405439e+01	5.001481e-05	-5.144871e-06	1.117743e-03
3.200000037395512e-06	1.405438e+01	1.000234e-04	-1.027318e-05	1.117750e-03
6.400000074791024e-06	1.405437e+01	2.000067e-04	-2.055779e-05	1.117763e-03
1.128281257479102e-05	1.405436e+01	3.523966e-04	-3.620602e-05	1.117783e-03
1.616562507479103e-05	1.405434e+01	5.044547e-04	-5.184069e-05	1.117803e-03
2.104843757479103e-05	1.405433e+01	6.560350e-04	-6.740464e-05	1.117823e-03
2.593125007479103e-05	1.405431e+01	8.069977e-04	-8.292565e-05	1.117843e-03
3.081406257479102e-05	1.405430e+01	9.571979e-04	-9.834673e-05	1.117863e-03
3.569687507479102e-05	1.405428e+01	1.106497e-03	-1.136957e-04	1.117882e-03
4.057968757479102e-05	1.405427e+01	1.254752e-03	-1.289157e-04	1.117902e-03
4.546250007479102e-05	1.405425e+01	1.401825e-03	-1.440350e-04	1.117921e-03
5.034531257479102e-05	1.405424e+01	1.547577e-03	-1.589967e-04	1.117941e-03
5.522812507479101e-05	1.405422e+01	1.691871e-03	-1.738293e-04	1.117960e-03
6.011093757479101e-05	1.405421e+01	1.834571e-03	-1.884763e-04	1.117978e-03
6.499375007479101e-05	1.405419e+01	1.975543e-03	-2.029666e-04	1.117997e-03
6.987656257479101e-05	1.405418e+01	2.114654e-03	-2.172438e-04	1.118015e-03
7.475937507479102e-05	1.405416e+01	2.251773e-03	-2.313372e-04	1.118033e-03
7.964218757479102e-05	1.405415e+01	2.386771e-03	-2.451908e-04	1.118051e-03
8.452500007479103e-05	1.405414e+01	2.519522e-03	-2.588342e-04	1.118069e-03
8.940781257479103e-05	1.405412e+01	2.649899e-03	-2.722122e-04	1.118086e-03
9.429062507479103e-05	1.405411e+01	2.777781e-03	-2.853544e-04	1.118103e-03
9.917343757479104e-05	1.405410e+01	2.903047e-03	-2.982062e-04	1.118119e-03
1.040562500747910e-04	1.405408e+01	3.025579e-03	-3.107978e-04	1.118135e-03
1.089390625747910e-04	1.405407e+01	3.145262e-03	-3.230750e-04	1.118151e-03
1.138218750747911e-04	1.405406e+01	3.261984e-03	-3.350688e-04	1.118166e-03
1.187046875747911e-04	1.405405e+01	3.375632e-03	-3.467252e-04	1.118181e-03
1.235875000747910e-04	1.405404e+01	3.486104e-03	-3.580758e-04	1.118196e-03
1.284703125747911e-04	1.405403e+01	3.593292e-03	-3.690675e-04	1.118210e-03
1.333531250747911e-04	1.405402e+01	3.697098e-03	-3.797325e-04	1.118224e-03
1.382359375747911e-04	1.405400e+01	3.797421e-03	-3.900182e-04	1.118237e-03
1.431187500747911e-04	1.405400e+01	3.894170e-03	-3.999574e-04	1.118249e-03
1.480015625747911e-04	1.405399e+01	3.987250e-03	-4.094981e-04	1.118262e-03
1.528843750747911e-04	1.405398e+01	4.076578e-03	-4.186741e-04	1.118273e-03
1.577671875747911e-04	1.405397e+01	4.162067e-03	-4.274342e-04	1.118285e-03
1.626500000747911e-04	1.405396e+01	4.243637e-03	-4.358125e-04	1.118295e-03
1.675328125747911e-04	1.405395e+01	4.321211e-03	-4.437587e-04	1.118306e-03
1.724156250747911e-04	1.405394e+01	4.394718e-03	-4.513079e-04	1.118315e-03
1.772984375747911e-04	1.405394e+01	4.464086e-03	-4.584104e-04	1.118324e-03
1.821812500747911e-04	1.405393e+01	4.529252e-03	-4.651022e-04	1.118333e-03
1.870640625747911e-04	1.405392e+01	4.590153e-03	-4.713342e-04	1.118341e-03
1.919468750747911e-04	1.405392e+01	4.646733e-03	-4.771433e-04	1.118349e-03
1.968296875747911e-04	1.405391e+01	4.698936e-03	-4.824814e-04	1.118355e-03
2.017125000747911e-04	1.405391e+01	4.746718e-03	-4.873860e-04	1.118362e-03
2.065953125747911e-04	1.405390e+01	4.790029e-03	-4.918099e-04	1.118367e-03
2.114781250747911e-04	1.405390e+01	4.828831e-03	-4.957917e-04	1.118372e-03
2.163609375747911e-04	1.405389e+01	4.863085e-03	-4.992849e-04	1.118377e-03
2.212437500747911e-04	1.405389e+01	4.892763e-03	-5.023288e-04	1.118381e-03
2.261265625747911e-04	1.405389e+01	4.917833e-03	-5.048781e-04	1.118384e-03
2.310093750747911e-04	1.405389e+01	4.938273e-03	-5.069728e-04	1.118387e-03
2.358921875747911e-04	1.405389e+01	4.954063e-03	-5.085684e-04	1.118389e-03
2.407750000747912e-04	1.405388e+01	4.965191e-03	-5.097060e-04	1.118390e-03
2.456578125747911e-04	1.405388e+01	4.971643e-03	-5.103421e-04	1.118391e-03
2.505406250747911e-04	1.405388e+01	4.973414e-03	-5.105183e-04	1.118391e-03
2.554234375747911e-04	1.405388e+01	4.970503e-03	-5.101922e-04	1.118391e-03
2.603062500747911e-04	1.405389e+01	4.962913e-03	-5.094067e-04	1.118390e-03
2.651890625747911e-04	1.405389e+01	4.950649e-03	-5.081197e-04	1.118388e-03
2.700718750747911e-04	1.405389e+01	4.933726e-03	-5.063752e-04	1.118386e-03
2.749546875747912e-04	1.405389e+01	4.912156e-03	-5.041322e-04	1.118383e-03
2.798375000747912e-04	1.405389e+01	4.885963e-03	-5.014353e-04	1.118380e-03
2.847203125747912e-04	1.405390e+01	4.855168e-03	-4.982445e-04	1.118376e-03
2.896031250747912e-04	1.405390e+01	4.819804e-03	-4.946055e-04	1.118371e-03
2.944859375747912e-04	1.405390e+01	4.779900e-03	-4.904791e-04	1.118366e-03
2.993687500747912e-04	1.405391e+01	4.735498e-03	-4.859116e-04	1.118360e-03
3.042515625747912e-04	1.405391e+01	4.686636e-03	-4.808650e-04	1.118353e-03
3.091343750747912e-04	1.405392e+01	4.633362e-03	-4.753863e-04	1.118346e-03
3.140171875747912e-04	1.405393e+01	4.575726e-03	-4.694384e-04	1.118339e-03
3.189000000747912e-04	1.405393e+01	4.513782e-03	-4.630692e-04	1.118331e-03
3.237828125747912e-04	1.405394e+01	4.447587e-03	-4.562423e-04	1.118322e-03
3.286656250747912e-04	1.405395e+01	4.377206e-03	-4.490067e-04	1.118313e-03
3.335484375747912e-04	1.405395e+01	4.302702e-03	-4.413265e-04	1.118303e-03
3.384312500747912e-04	1.405396e+01	4.224149e-03	-4.332516e-04	1.118292e-03
3.433140625747912e-04	1.405397e+01	4.141617e-03	-4.247469e-04	1.118282e-03
3.481968750747912e-04	1.405398e+01	4.055187e-03	-4.158631e-04	1.118270e-03
3.530796875747912e-04	1.405399e+01	3.964937e-03	-4.065661e-04	1.118258e-03
3.579625000747912e-04	1.405400e+01	3.870956e-03	-3.969070e-04	1.118246e-03
3.628453125747912e-04	1.405401e+01	3.773328e-03	-3.868523e-04	1.118233e-03
3.677281250747912e-04	1.405402e+01	3.672149e-03	-3.764542e-04	1.118220e-03
3.726109375747912e-04	1.405403e+01	3.567511e-03	-3.656798e-04	1.118206e-03
3.774937500747912e-04	1.405404e+01	3.459514e-03	-3.545819e-04	1.118192e-03
3.823765625747912e-04	1.405405e+01	3.348259e-03	-3.431283e-04	1.118177e-03
3.872593750747913e-04	1.405406e+01	3.233853e-03	-3.313724e-04	1.118162e-03
3.921421875747913e-04	1.405408e+01	3.116400e-03	-3.192826e-04	1.118146e-03
3.970250000747913e-04	1.405409e+01	2.996014e-03	-3.069129e-04	1.118131e-03
4.019078125747913e-04	1.405410e+01	2.872805e-03	-2.942324e-04	1.118114e-03
4.067906250747913e-04	1.405411e+01	2.746892e-03	-2.812955e-04	1.118098e-03
4.116734375747913e-04	1.405413e+01	2.618391e-03	-2.680720e-04	1.118081e-03
4.165562500747913e-04	1.405414e+01	2.487425e-03	-2.546168e-04	1.118063e-03
4.214390625747913e-04	1.405415e+01	2.354115e-03	-2.408999e-04	1.118046e-03
4.263218750747913e-04	1.405417e+01	2.218590e-03	-2.269769e-04	1.118028e-03
4.312046875747913e-04	1.405418e+01	2.080973e-03	-2.128183e-04	1.118010e-03
4.360875000747913e-04	1.405420e+01	1.941398e-03	-1.984800e-04	1.117992e-03
4.409703125747913e-04	1.405421e+01	1.799993e-03	-1.839329e-04	1.117973e-03
4.458531250747913e-04	1.405422e+01	1.656893e-03	-1.692332e-04	1.117954e-03
4.507359375747913e-04	1.405424e+01	1.512231e-03	-1.543523e-04	1.117935e-03
4.556187500747913e-04	1.405426e+01	1.366145e-03	-1.393468e-04	1.117916e-03
4.605015625747913e-04	1.405427e+01	1.218771e-03	-1.241880e-04	1.117896e-03
4.653843750747913e-04	1.405429e+01	1.070250e-03	-1.089330e-04	1.117877e-03
4.702671875747913e-04	1.405430e+01	9.207178e-04	-9.355343e-05	1.117857e-03
4.751500000747913e-04	1.405432e+01	7.703193e-04	-7.810642e-05	1.117837e-03
4.800328125747913e-04	1.405433e+01	6.191929e-04	-6.256393e-05	1.117817e-03
4.849156250747913e-04	1.405435e+01	4.674835e-04	-4.698310e-05	1.117797e-03
4.897984375747913e-04	1.405436e+01	3.153312e-04	-3.133602e-05	1.117777e-03
4.946812500747913e-04	1.405438e+01	1.628818e-04	-1.568004e-05	1.117757e-03
4.995640625747914e-04	1.405439e+01	1.027627e-05	1.267513e-08	1.117737e-03
5.044468750747914e-04	1.405441e+01	-1.423391e-04	1.568485e-05	1.117717e-03
5.093296875747914e-04	1.405443e+01	-2.948236e-04	3.136414e-05	1.117697e-03
5.142125000747914e-04	1.405444e+01	-4.470307e-04	4.699348e-05	1.117677e-03
5.190953125747914e-04	1.405446e+01	-5.988201e-04	6.260053e-05	1.117657e-03
5.239781250747914e-04	1.405447e+01	-7.500460e-04	7.812807e-05	1.117637e-03
5.288609375747914e-04	1.405449e+01	-9.005691e-04	9.360408e-05	1.117617e-03
5.337437500747914e-04	1.405450e+01	-1.050245e-03	1.089714e-04	1.117597e-03
