time	V(v0)	V(n001)
0.000000000000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	4.634262e-23	1.570796e-06
1.999999943436137e-09	1.390263e-22	3.141593e-06
3.999999886872274e-09	4.170741e-22	6.283185e-06
7.999999773744548e-09	1.529234e-21	1.256637e-05
1.599999954748910e-08	5.977624e-21	2.513274e-05
3.199999909497819e-08	2.376917e-20	5.026548e-05
6.399999818995639e-08	9.491933e-20	1.005310e-04
1.279999963799128e-07	3.793918e-19	2.010619e-04
2.559999927598255e-07	1.516260e-18	4.021238e-04
5.119999855196511e-07	6.055621e-18	8.042477e-04
1.023999971039302e-06	2.414904e-17	1.608495e-03
2.047999942078604e-06	9.602458e-17	3.216990e-03
4.095999884157209e-06	3.797544e-16	6.433974e-03
8.191999768314417e-06	1.487577e-15	1.286791e-02
1.638399953662883e-05	5.742675e-15	2.573547e-02
3.276799907325767e-05	2.180231e-14	5.146822e-02
6.553599814651534e-05	8.204928e-14	1.029146e-01
1.310719962930307e-04	3.109894e-13	2.056548e-01
1.779194137292229e-04	5.624383e-13	2.788934e-01
2.075485436200209e-04	7.591169e-13	3.250932e-01
2.268406773681131e-04	9.028211e-13	3.551153e-01
2.407078429906106e-04	1.013723e-12	3.766632e-01
2.531433170336978e-04	1.118578e-12	3.959621e-01
2.664372868906020e-04	1.236316e-12	4.165666e-01
2.786617005530801e-04	1.349720e-12	4.354877e-01
2.914638100263153e-04	1.473755e-12	4.552755e-01
3.037427937727867e-04	1.597783e-12	4.742270e-01
3.163630538764368e-04	1.730412e-12	4.936758e-01
3.287246427904440e-04	1.865381e-12	5.126960e-01
3.412876791318483e-04	2.007671e-12	5.319943e-01
3.537253277986608e-04	2.153616e-12	5.510674e-01
3.662856402635186e-04	2.306116e-12	5.702944e-01
3.787918299570094e-04	2.463056e-12	5.894034e-01
3.913802696157216e-04	2.626152e-12	6.086012e-01
4.039592992985192e-04	2.794243e-12	6.277466e-01
4.166120663316404e-04	2.968454e-12	6.469648e-01
4.293076525320513e-04	3.148388e-12	6.662068e-01
4.421313005696726e-04	3.335281e-12	6.855999e-01
4.551511314656257e-04	3.530173e-12	7.052442e-01
4.686001241176918e-04	3.736624e-12	7.254864e-01
4.829172800422987e-04	3.961526e-12	7.469783e-01
4.992951571512014e-04	4.223975e-12	7.714894e-01
5.214363218084045e-04	4.584374e-12	8.044955e-01
5.533598767742714e-04	5.108912e-12	8.518086e-01
5.880176902186605e-04	5.680053e-12	9.027854e-01
6.341666028356870e-04	6.440511e-12	9.699954e-01
7.157407183390227e-04	7.783946e-12	1.086768e+00
8.788889493456940e-04	1.046735e-11	1.311451e+00
1.074201449345694e-03	1.367230e-11	1.562127e+00
1.269513949345694e-03	1.686687e-11	1.789308e+00
1.464826449345694e-03	2.004825e-11	1.989576e+00
1.660138949345694e-03	2.321288e-11	2.159919e+00
1.855451449345694e-03	2.635604e-11	2.297774e+00
2.050763949345694e-03	2.947088e-11	2.401069e+00
2.246076449345694e-03	3.254656e-11	2.468249e+00
2.441388949345694e-03	3.556411e-11	2.498305e+00
2.628207035240675e-03	3.836272e-11	2.491893e+00
2.823519535240675e-03	4.112855e-11	2.448528e+00
3.018832035240675e-03	4.362237e-11	2.368334e+00
3.214144535240675e-03	4.570698e-11	2.252518e+00
3.409457035240675e-03	4.723976e-11	2.102823e+00
3.604769535240675e-03	4.808445e-11	1.921499e+00
3.800082035240676e-03	4.721162e-11	1.711274e+00
