time	V(vi)	V(vo)	I(C1)	I(D1)	I(R1)	I(VI)
0.000000000000000e+00	-1.000000e+00	-4.699904e-13	4.700000e-17	9.641579e-22	-4.699904e-17	4.700000e-17
4.882812487672084e-10	-2.343750e-02	9.765618e-01	-7.021520e-02	-7.011755e-02	9.765618e-05	-7.021520e-02
5.344080571072742e-10	6.881611e-02	1.068815e+00	-6.329332e-02	-6.318646e-02	1.068815e-04	-6.329332e-02
6.266616737874059e-10	2.533233e-01	1.253322e+00	-6.025851e-02	-6.013319e-02	1.253322e-04	-6.025851e-02
8.111689071476691e-10	6.223378e-01	1.622337e+00	-5.846774e-02	-5.830551e-02	1.622337e-04	-5.846774e-02
1.000000000000000e-09	1.000000e+00	1.999999e+00	-5.485008e-02	-5.465008e-02	1.999999e-04	-5.485008e-02
1.183234475302608e-09	1.000000e+00	1.999999e+00	5.308414e-02	5.328413e-02	1.999999e-04	5.308414e-02
1.364889645838827e-09	1.000000e+00	1.999999e+00	-5.214090e-02	-5.194223e-02	1.999999e-04	-5.214090e-02
1.544591506538306e-09	1.000000e+00	1.999999e+00	5.041744e-02	5.061617e-02	1.999999e-04	5.041744e-02
1.903995227937263e-09	1.000000e+00	1.999999e+00	-5.016848e-02	-4.996987e-02	1.999999e-04	-5.016848e-02
2.622802670735177e-09	1.000000e+00	1.999999e+00	4.944710e-02	4.964643e-02	1.999999e-04	4.944710e-02
3.713431310861538e-09	1.000000e+00	1.999999e+00	-4.963643e-02	-4.943674e-02	1.999999e-04	-4.963643e-02
5.894688591114260e-09	1.000000e+00	1.999999e+00	4.913143e-02	4.933122e-02	1.999999e-04	4.913143e-02
1.025720315161970e-08	1.000000e+00	1.999999e+00	-4.947902e-02	-4.927913e-02	1.999999e-04	-4.947902e-02
1.898223227263059e-08	1.000000e+00	1.999999e+00	4.905283e-02	4.925278e-02	1.999998e-04	4.905283e-02
3.643229051465237e-08	1.000000e+00	1.999998e+00	-4.943974e-02	-4.923977e-02	1.999998e-04	-4.943974e-02
7.133240699869593e-08	1.000000e+00	1.999998e+00	4.903320e-02	4.923319e-02	1.999998e-04	4.903320e-02
1.411326399667830e-07	1.000000e+00	1.999998e+00	-4.942993e-02	-4.922993e-02	1.999998e-04	-4.942993e-02
2.807331059029573e-07	1.000000e+00	1.999997e+00	4.902830e-02	4.922829e-02	1.999997e-04	4.902830e-02
5.599340377753057e-07	1.000000e+00	1.999996e+00	-4.942748e-02	-4.922748e-02	1.999996e-04	-4.942748e-02
1.118335901520002e-06	1.000000e+00	1.999994e+00	4.902707e-02	4.922707e-02	1.999994e-04	4.902707e-02
2.235139629009396e-06	1.000000e+00	1.999989e+00	-4.942686e-02	-4.922687e-02	1.999989e-04	-4.942686e-02
4.468747083988184e-06	1.000000e+00	1.999980e+00	4.902676e-02	4.922676e-02	1.999980e-04	4.902676e-02
8.935961993945759e-06	1.000000e+00	1.999961e+00	-4.942670e-02	-4.922671e-02	1.999961e-04	-4.942670e-02
1.787039181386091e-05	1.000000e+00	1.999923e+00	4.902669e-02	4.922668e-02	1.999923e-04	4.902669e-02
3.573925145369121e-05	1.000000e+00	1.999847e+00	-4.942666e-02	-4.922667e-02	1.999847e-04	-4.942666e-02
7.147697073335181e-05	1.000000e+00	1.999694e+00	4.902669e-02	4.922666e-02	1.999695e-04	4.902669e-02
1.203050957333518e-04	1.000000e+00	1.999487e+00	-4.942661e-02	-4.922666e-02	1.999487e-04	-4.942661e-02
1.691332207333518e-04	1.000000e+00	1.999279e+00	4.902673e-02	4.922666e-02	1.999279e-04	4.902673e-02
2.179613457333518e-04	1.000000e+00	1.999071e+00	-4.942656e-02	-4.922665e-02	1.999071e-04	-4.942656e-02
2.667894707333518e-04	1.000000e+00	1.998864e+00	4.902676e-02	4.922665e-02	1.998864e-04	4.902676e-02
3.156175957333518e-04	1.000000e+00	1.998656e+00	-4.942651e-02	-4.922664e-02	1.998656e-04	-4.942651e-02
3.644457207333518e-04	1.000000e+00	1.998448e+00	4.902679e-02	4.922664e-02	1.998448e-04	4.902679e-02
4.132738457333518e-04	1.000000e+00	1.998241e+00	-4.942646e-02	-4.922663e-02	1.998241e-04	-4.942646e-02
4.621019707333517e-04	1.000000e+00	1.998033e+00	4.902682e-02	4.922663e-02	1.998033e-04	4.902682e-02
5.109300957333517e-04	1.000000e+00	1.997826e+00	-4.942641e-02	-4.922662e-02	1.997826e-04	-4.942641e-02
5.597582207333518e-04	1.000000e+00	1.997618e+00	4.902686e-02	4.922662e-02	1.997618e-04	4.902686e-02
6.085863457333518e-04	1.000000e+00	1.997411e+00	-4.942635e-02	-4.922662e-02	1.997411e-04	-4.942635e-02
6.574144707333519e-04	1.000000e+00	1.997203e+00	4.902689e-02	4.922661e-02	1.997203e-04	4.902689e-02
7.062425957333519e-04	1.000000e+00	1.996996e+00	-4.942630e-02	-4.922660e-02	1.996996e-04	-4.942630e-02
7.550707207333520e-04	1.000000e+00	1.996788e+00	4.902692e-02	4.922660e-02	1.996788e-04	4.902692e-02
8.038988457333520e-04	1.000000e+00	1.996581e+00	-4.942625e-02	-4.922659e-02	1.996581e-04	-4.942625e-02
8.527269707333520e-04	1.000000e+00	1.996373e+00	4.902695e-02	4.922659e-02	1.996373e-04	4.902695e-02
9.015550957333521e-04	1.000000e+00	1.996166e+00	-4.942620e-02	-4.922659e-02	1.996166e-04	-4.942620e-02
9.503832207333521e-04	1.000000e+00	1.995959e+00	4.902698e-02	4.922658e-02	1.995959e-04	4.902698e-02
9.992113457333522e-04	1.000000e+00	1.995751e+00	-4.942615e-02	-4.922657e-02	1.995751e-04	-4.942615e-02
1.048039470733352e-03	1.000000e+00	1.995544e+00	4.902702e-02	4.922657e-02	1.995544e-04	4.902702e-02
1.096867595733352e-03	1.000000e+00	1.995337e+00	-4.942610e-02	-4.922657e-02	1.995336e-04	-4.942610e-02
1.145695720733352e-03	1.000000e+00	1.995129e+00	4.902705e-02	4.922656e-02	1.995129e-04	4.902705e-02
1.194523845733352e-03	1.000000e+00	1.994922e+00	-4.942605e-02	-4.922656e-02	1.994922e-04	-4.942605e-02
1.243351970733352e-03	1.000000e+00	1.994715e+00	4.902708e-02	4.922655e-02	1.994715e-04	4.902708e-02
1.292180095733352e-03	1.000000e+00	1.994508e+00	-4.942600e-02	-4.922655e-02	1.994508e-04	-4.942600e-02
1.341008220733352e-03	1.000000e+00	1.994300e+00	4.902712e-02	4.922654e-02	1.994300e-04	4.902712e-02
1.389836345733353e-03	1.000000e+00	1.994093e+00	-4.942595e-02	-4.922654e-02	1.994093e-04	-4.942595e-02
1.438664470733353e-03	1.000000e+00	1.993886e+00	4.902714e-02	4.922653e-02	1.993886e-04	4.902714e-02
1.487492595733353e-03	1.000000e+00	1.993679e+00	-4.942590e-02	-4.922653e-02	1.993679e-04	-4.942590e-02
1.536320720733353e-03	1.000000e+00	1.993472e+00	4.902718e-02	4.922653e-02	1.993472e-04	4.902718e-02
1.585148845733353e-03	1.000000e+00	1.993265e+00	-4.942585e-02	-4.922652e-02	1.993265e-04	-4.942585e-02
1.633976970733353e-03	1.000000e+00	1.993058e+00	4.902721e-02	4.922651e-02	1.993058e-04	4.902721e-02
1.682805095733353e-03	1.000000e+00	1.992851e+00	-4.942580e-02	-4.922651e-02	1.992851e-04	-4.942580e-02
1.731633220733353e-03	1.000000e+00	1.992644e+00	4.902724e-02	4.922651e-02	1.992644e-04	4.902724e-02
1.780461345733353e-03	1.000000e+00	1.992437e+00	-4.942574e-02	-4.922650e-02	1.992437e-04	-4.942574e-02
1.829289470733353e-03	1.000000e+00	1.992230e+00	4.902728e-02	4.922650e-02	1.992230e-04	4.902728e-02
1.878117595733353e-03	1.000000e+00	1.992023e+00	-4.942570e-02	-4.922649e-02	1.992023e-04	-4.942570e-02
1.926945720733353e-03	1.000000e+00	1.991816e+00	4.902731e-02	4.922649e-02	1.991816e-04	4.902731e-02
1.975773845733353e-03	1.000000e+00	1.991609e+00	-4.942564e-02	-4.922648e-02	1.991609e-04	-4.942564e-02
2.024601970733353e-03	1.000000e+00	1.991402e+00	4.902734e-02	4.922648e-02	1.991402e-04	4.902734e-02
2.073430095733352e-03	1.000000e+00	1.991195e+00	-4.942559e-02	-4.922647e-02	1.991195e-04	-4.942559e-02
2.122258220733352e-03	1.000000e+00	1.990988e+00	4.902737e-02	4.922647e-02	1.990988e-04	4.902737e-02
2.171086345733352e-03	1.000000e+00	1.990781e+00	-4.942554e-02	-4.922646e-02	1.990781e-04	-4.942554e-02
2.219914470733352e-03	1.000000e+00	1.990574e+00	4.902740e-02	4.922646e-02	1.990575e-04	4.902740e-02
2.268742595733352e-03	1.000000e+00	1.990368e+00	-4.942549e-02	-4.922646e-02	1.990368e-04	-4.942549e-02
2.317570720733352e-03	1.000000e+00	1.990161e+00	4.902744e-02	4.922645e-02	1.990161e-04	4.902744e-02
2.366398845733351e-03	1.000000e+00	1.989954e+00	-4.942544e-02	-4.922644e-02	1.989954e-04	-4.942544e-02
2.415226970733351e-03	1.000000e+00	1.989747e+00	4.902747e-02	4.922644e-02	1.989747e-04	4.902747e-02
2.464055095733351e-03	1.000000e+00	1.989541e+00	-4.942539e-02	-4.922644e-02	1.989541e-04	-4.942539e-02
2.512883220733351e-03	1.000000e+00	1.989334e+00	4.902750e-02	4.922643e-02	1.989334e-04	4.902750e-02
