time	V(vi)	V(vo)	V(n003)	I(D1)	I(D2)	I(R1)	I(VI)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.929687603625553e-10	1.380583e-06	7.310245e-09	3.655122e-09	1.373272e-09	-1.373272e-09	-1.373272e-09	-1.373272e-09
5.859375207251105e-10	2.761165e-06	1.894693e-08	9.473465e-09	2.742219e-09	-2.742219e-09	-2.742219e-09	-2.742219e-09
1.171875041450221e-09	5.522331e-06	5.084591e-08	2.542296e-08	5.471485e-09	-5.471485e-09	-5.471485e-09	-5.471485e-09
2.343750082900442e-09	1.104466e-05	1.660725e-07	8.303625e-08	1.087859e-08	-1.087859e-08	-1.087859e-08	-1.087859e-08
4.687500165800884e-09	2.208932e-05	5.990299e-07	2.995150e-07	2.149029e-08	-2.149029e-08	-2.149029e-08	-2.149029e-08
9.375000331601768e-09	4.417865e-05	2.249992e-06	1.124996e-06	4.192865e-08	-4.192865e-08	-4.192865e-08	-4.192865e-08
1.875000066320354e-08	8.835729e-05	8.503172e-06	4.251589e-06	7.985413e-08	-7.985413e-08	-7.985413e-08	-7.985413e-08
3.750000132640707e-08	1.767146e-04	3.145923e-05	1.572966e-05	1.452554e-07	-1.452554e-07	-1.452554e-07	-1.452554e-07
7.073839446185965e-08	3.333468e-04	9.972152e-05	4.986127e-05	2.336253e-07	-2.336253e-07	-2.336253e-07	-2.336253e-07
1.059170904717750e-07	4.991225e-04	2.009780e-04	1.004912e-04	2.981446e-07	-2.981446e-07	-2.981446e-07	-2.981446e-07
1.611236663885889e-07	7.592774e-04	3.979156e-04	1.989667e-04	3.613617e-07	-3.613617e-07	-3.613617e-07	-3.613617e-07
2.304546989614688e-07	1.085992e-03	6.840504e-04	3.420520e-04	4.019418e-07	-4.019418e-07	-4.019418e-07	-4.019418e-07
3.402370770343796e-07	1.603329e-03	1.176114e-03	5.881371e-04	4.272154e-07	-4.272154e-07	-4.272154e-07	-4.272154e-07
4.948622781558705e-07	2.331984e-03	1.896838e-03	9.486286e-04	4.351455e-07	-4.351455e-07	-4.351455e-07	-4.351455e-07
7.688122087828359e-07	3.622942e-03	3.186825e-03	1.594007e-03	4.361169e-07	-4.361169e-07	-4.361169e-07	-4.361169e-07
1.283808687824314e-06	6.049805e-03	5.613850e-03	2.808775e-03	4.359550e-07	-4.359550e-07	-4.359550e-07	-4.359550e-07
2.313801645907271e-06	1.090353e-02	1.046733e-02	5.240123e-03	4.361989e-07	-4.361989e-07	-4.361989e-07	-4.361989e-07
4.373787562073184e-06	2.061096e-02	2.017461e-02	1.011148e-02	4.363557e-07	-4.363557e-07	-4.363557e-07	-4.363557e-07
8.493759394405013e-06	4.002571e-02	3.958876e-02	1.988891e-02	4.369462e-07	-4.369462e-07	-4.369462e-07	-4.369462e-07
1.673370305906867e-05	7.885426e-02	7.841626e-02	3.959066e-02	4.380036e-07	-4.380036e-07	-4.380036e-07	-4.380036e-07
3.321359038839598e-05	1.565040e-01	1.560628e-01	7.965269e-02	4.412124e-07	-4.412124e-07	-4.412124e-07	-4.412130e-07
6.251046538839598e-05	2.944979e-01	2.940445e-01	1.537662e-01	4.533798e-07	-4.533798e-07	-4.533798e-07	-4.534106e-07
9.180734038839597e-05	4.323920e-01	4.319075e-01	2.337758e-01	4.844932e-07	-4.844932e-07	-4.844932e-07	-4.848222e-07
1.211042153883960e-04	5.701396e-01	5.695925e-01	3.245214e-01	5.471337e-07	-5.471337e-07	-5.471337e-07	-5.471345e-07
1.504010903883960e-04	7.076941e-01	7.070699e-01	4.309644e-01	6.240971e-07	-6.240971e-07	-6.240971e-07	-6.241099e-07
1.796979653883960e-04	8.450087e-01	8.443353e-01	5.529766e-01	6.733385e-07	-6.733385e-07	-6.733385e-07	-6.733592e-07
2.089948403883960e-04	9.820369e-01	9.813539e-01	6.849799e-01	6.831161e-07	-6.831161e-07	-6.831161e-07	-6.831202e-07
2.382917153883960e-04	1.118733e+00	1.118062e+00	8.211208e-01	6.709499e-07	-6.709499e-07	-6.709499e-07	-6.715964e-07
2.675885903883960e-04	1.255049e+00	1.254395e+00	9.584444e-01	6.541026e-07	-6.541026e-07	-6.541026e-07	-6.541773e-07
2.968854653883960e-04	1.390940e+00	1.390305e+00	1.095851e+00	6.351855e-07	-6.351855e-07	-6.351855e-07	-6.351931e-07
3.261823403883960e-04	1.526360e+00	1.525743e+00	1.232824e+00	6.172991e-07	-6.172991e-07	-6.172991e-07	-6.172990e-07
3.554792153883960e-04	1.661263e+00	1.660662e+00	1.369230e+00	6.005412e-07	-6.005412e-07	-6.005412e-07	-6.005411e-07
3.847760903883961e-04	1.795603e+00	1.795018e+00	1.505009e+00	5.850438e-07	-5.850438e-07	-5.850438e-07	-5.850437e-07
4.140729653883961e-04	1.929334e+00	1.928764e+00	1.640120e+00	5.704468e-07	-5.704468e-07	-5.704468e-07	-5.704467e-07
4.433698403883961e-04	2.062412e+00	2.061855e+00	1.774524e+00	5.568295e-07	-5.568295e-07	-5.568295e-07	-5.568294e-07
4.726667153883961e-04	2.194791e+00	2.194247e+00	1.908183e+00	5.438709e-07	-5.438709e-07	-5.438709e-07	-5.438707e-07
5.019635903883962e-04	2.326426e+00	2.325894e+00	2.041057e+00	5.316949e-07	-5.316949e-07	-5.316949e-07	-5.316948e-07
5.312604653883962e-04	2.457273e+00	2.456753e+00	2.173105e+00	5.200432e-07	-5.200432e-07	-5.200432e-07	-5.200429e-07
5.605573403883962e-04	2.587287e+00	2.586778e+00	2.304284e+00	5.091140e-07	-5.091140e-07	-5.091140e-07	-5.091139e-07
5.898542153883963e-04	2.716425e+00	2.715926e+00	2.434543e+00	4.987806e-07	-4.987806e-07	-4.987806e-07	-4.987804e-07
6.191510903883963e-04	2.844642e+00	2.844153e+00	2.563823e+00	4.894694e-07	-4.894694e-07	-4.894694e-07	-4.894692e-07
6.484479653883963e-04	2.971895e+00	2.971414e+00	2.692043e+00	4.815082e-07	-4.815082e-07	-4.815082e-07	-4.815082e-07
6.777448403883963e-04	3.098142e+00	3.097666e+00	2.819076e+00	4.762126e-07	-4.762126e-07	-4.762126e-07	-4.762130e-07
7.070417153883964e-04	3.223338e+00	3.222863e+00	2.944708e+00	4.756799e-07	-4.756799e-07	-4.756799e-07	-4.756823e-07
7.363385903883964e-04	3.347443e+00	3.346958e+00	3.068555e+00	4.846605e-07	-4.846605e-07	-4.846605e-07	-4.846710e-07
7.656354653883964e-04	3.470413e+00	3.469901e+00	3.189926e+00	5.117471e-07	-5.117471e-07	-5.117471e-07	-5.117893e-07
7.949323403883964e-04	3.592207e+00	3.591634e+00	3.307645e+00	5.732864e-07	-5.732864e-07	-5.732864e-07	-5.734469e-07
8.242292153883965e-04	3.712785e+00	3.712088e+00	3.419996e+00	6.968885e-07	-6.968885e-07	-6.968885e-07	-6.974366e-07
8.535260903883965e-04	3.832103e+00	3.831175e+00	3.525306e+00	9.285160e-07	-9.285160e-07	-9.285160e-07	-9.285164e-07
