Vgs	V(vgs)	V(n002)	Id(M1)
0.000000000000000e+00	5.000000e+00	5.000000e+00	-4.832672e-12
1.000000000000000e-01	4.900000e+00	5.000000e+00	-4.832695e-12
2.000000000000000e-01	4.800000e+00	5.000000e+00	-4.832695e-12
3.000000000000000e-01	4.700000e+00	5.000000e+00	-4.832695e-12
4.000000000000000e-01	4.600000e+00	5.000000e+00	-4.832695e-12
5.000000000000000e-01	4.500000e+00	5.000000e+00	-4.832695e-12
6.000000000000001e-01	4.400000e+00	5.000000e+00	-4.832695e-12
7.000000000000001e-01	4.300000e+00	5.000000e+00	-4.832695e-12
8.000000000000000e-01	4.200000e+00	5.000000e+00	-4.832695e-12
9.000000000000000e-01	4.100000e+00	5.000000e+00	-4.832695e-12
1.000000000000000e+00	4.000000e+00	5.000000e+00	-4.832695e-12
1.100000000000000e+00	3.900000e+00	5.000000e+00	-4.832696e-12
1.200000000000000e+00	3.800000e+00	5.000000e+00	-4.832696e-12
1.300000000000000e+00	3.700000e+00	5.000000e+00	-4.832702e-12
1.400000000000000e+00	3.600000e+00	5.000000e+00	-4.832783e-12
1.500000000000000e+00	3.500000e+00	5.000000e+00	-4.834030e-12
1.600000000000000e+00	3.400000e+00	5.000000e+00	-4.852912e-12
1.700000000000000e+00	3.300000e+00	5.000000e+00	-5.138022e-12
1.800000000000000e+00	3.200000e+00	5.000000e+00	-9.385838e-12
1.900000000000000e+00	3.100000e+00	5.000000e+00	-6.975969e-11
2.000000000000000e+00	3.000000e+00	5.000000e+00	-8.244362e-10
2.100000000000000e+00	2.900000e+00	5.000000e+00	-8.549816e-09
2.200000000000000e+00	2.800000e+00	5.000000e+00	-5.946615e-08
2.300000000000000e+00	2.700000e+00	5.000000e+00	-2.111825e-07
2.400000000000000e+00	2.600000e+00	5.000000e+00	-4.683474e-07
2.500000000000000e+00	2.500000e+00	5.000000e+00	-8.150818e-07
2.600000000000000e+00	2.400000e+00	5.000000e+00	-1.245080e-06
2.700000000000000e+00	2.300000e+00	5.000000e+00	-1.756570e-06
2.800000000000000e+00	2.200000e+00	5.000000e+00	-2.348263e-06
2.900000000000000e+00	2.100000e+00	5.000000e+00	-3.018606e-06
3.000000000000000e+00	2.000000e+00	5.000000e+00	-3.765864e-06
3.100000000000000e+00	1.900000e+00	5.000000e+00	-4.588253e-06
3.200000000000000e+00	1.800000e+00	5.000000e+00	-5.484012e-06
3.300000000000000e+00	1.700000e+00	5.000000e+00	-6.451422e-06
3.400000000000000e+00	1.600000e+00	5.000000e+00	-7.488818e-06
3.500000000000000e+00	1.500000e+00	5.000000e+00	-8.594584e-06
3.600000000000000e+00	1.400000e+00	5.000000e+00	-9.767151e-06
3.700000000000000e+00	1.300000e+00	5.000000e+00	-1.100499e-05
3.800000000000000e+00	1.200000e+00	5.000000e+00	-1.230663e-05
3.900000000000000e+00	1.100000e+00	5.000000e+00	-1.367061e-05
4.000000000000000e+00	1.000000e+00	5.000000e+00	-1.509553e-05
4.100000000000001e+00	9.000000e-01	5.000000e+00	-1.658002e-05
4.200000000000000e+00	8.000000e-01	5.000000e+00	-1.812273e-05
4.300000000000000e+00	7.000000e-01	5.000000e+00	-1.972237e-05
4.400000000000000e+00	6.000000e-01	5.000000e+00	-2.137765e-05
4.500000000000000e+00	5.000000e-01	5.000000e+00	-2.308734e-05
4.600000000000001e+00	4.000000e-01	5.000000e+00	-2.485020e-05
4.700000000000000e+00	3.000000e-01	5.000000e+00	-2.666505e-05
4.800000000000001e+00	2.000000e-01	5.000000e+00	-2.853072e-05
4.900000000000000e+00	1.000000e-01	5.000000e+00	-3.044608e-05
5.000000000000000e+00	0.000000e+00	5.000000e+00	-3.241001e-05
