VCE	VCE	Ic(Q1)
Step Information: VBE=600m  (Step: 1/3)
0.000000000000000e+00	0.000000e+00	-8.295850e-04
1.000000000000000e-01	1.000000e-01	8.882094e-05
2.000000000000000e-01	2.000000e-01	1.166312e-04
3.000000000000000e-01	3.000000e-01	1.173359e-04
4.000000000000000e-01	4.000000e-01	1.174666e-04
5.000000000000000e-01	5.000000e-01	1.175852e-04
6.000000000000001e-01	6.000000e-01	1.177037e-04
7.000000000000001e-01	7.000000e-01	1.178221e-04
8.000000000000000e-01	8.000000e-01	1.179405e-04
9.000000000000000e-01	9.000000e-01	1.180589e-04
1.000000000000000e+00	1.000000e+00	1.181773e-04
1.100000000000000e+00	1.100000e+00	1.182957e-04
1.200000000000000e+00	1.200000e+00	1.184141e-04
1.300000000000000e+00	1.300000e+00	1.185326e-04
1.400000000000000e+00	1.400000e+00	1.186510e-04
1.500000000000000e+00	1.500000e+00	1.187694e-04
1.600000000000000e+00	1.600000e+00	1.188878e-04
1.700000000000000e+00	1.700000e+00	1.190062e-04
1.800000000000000e+00	1.800000e+00	1.191246e-04
1.900000000000000e+00	1.900000e+00	1.192430e-04
2.000000000000000e+00	2.000000e+00	1.193615e-04
Step Information: VBE=700m  (Step: 2/3)
0.000000000000000e+00	0.000000e+00	-4.812316e-03
1.000000000000000e-01	1.000000e-01	2.072205e-03
2.000000000000000e-01	2.000000e-01	4.863494e-03
3.000000000000000e-01	3.000000e-01	5.047885e-03
4.000000000000000e-01	4.000000e-01	5.057031e-03
5.000000000000000e-01	5.000000e-01	5.062224e-03
6.000000000000001e-01	6.000000e-01	5.067335e-03
7.000000000000001e-01	7.000000e-01	5.072442e-03
8.000000000000000e-01	8.000000e-01	5.077551e-03
9.000000000000000e-01	9.000000e-01	5.082659e-03
1.000000000000000e+00	1.000000e+00	5.087767e-03
1.100000000000000e+00	1.100000e+00	5.092876e-03
1.200000000000000e+00	1.200000e+00	5.097983e-03
1.300000000000000e+00	1.300000e+00	5.103092e-03
1.400000000000000e+00	1.400000e+00	5.108200e-03
1.500000000000000e+00	1.500000e+00	5.113308e-03
1.600000000000000e+00	1.600000e+00	5.118416e-03
1.700000000000000e+00	1.700000e+00	5.123524e-03
1.800000000000000e+00	1.800000e+00	5.128633e-03
1.900000000000000e+00	1.900000e+00	5.133741e-03
2.000000000000000e+00	2.000000e+00	5.138849e-03
Step Information: VBE=800m  (Step: 3/3)
0.000000000000000e+00	0.000000e+00	-8.778536e-03
1.000000000000000e-01	1.000000e-01	9.520563e-04
2.000000000000000e-01	2.000000e-01	1.065264e-02
3.000000000000000e-01	3.000000e-01	2.031581e-02
4.000000000000000e-01	4.000000e-01	2.993103e-02
5.000000000000000e-01	5.000000e-01	3.948273e-02
6.000000000000001e-01	6.000000e-01	4.894644e-02
7.000000000000001e-01	7.000000e-01	5.828071e-02
8.000000000000000e-01	8.000000e-01	6.740727e-02
9.000000000000000e-01	9.000000e-01	7.615291e-02
1.000000000000000e+00	1.000000e+00	8.402628e-02
1.100000000000000e+00	1.100000e+00	8.925805e-02
1.200000000000000e+00	1.200000e+00	9.028571e-02
1.300000000000000e+00	1.300000e+00	9.040586e-02
1.400000000000000e+00	1.400000e+00	9.049719e-02
1.500000000000000e+00	1.500000e+00	9.058788e-02
1.600000000000000e+00	1.600000e+00	9.067856e-02
1.700000000000000e+00	1.700000e+00	9.076924e-02
1.800000000000000e+00	1.800000e+00	9.085991e-02
1.900000000000000e+00	1.900000e+00	9.095059e-02
2.000000000000000e+00	2.000000e+00	9.104127e-02
