time	V(n002)	V(n004)	Id(M1)
0.000000000000000e+00	5.958320e-12	0.000000e+00	8.295443e-04
4.882812557061023e-11	-8.379225e-07	1.889057e-11	8.295443e-04
9.765625114122045e-11	-3.443420e-06	-1.606988e-09	8.295441e-04
1.953125022824409e-10	-3.479986e-06	1.050036e-08	8.295443e-04
3.906250045648818e-10	-4.540893e-08	1.090135e-08	8.295443e-04
7.812500091297636e-10	-4.275476e-07	2.549923e-08	8.295443e-04
1.562500018259527e-09	-3.914992e-07	4.772797e-08	8.295443e-04
3.125000036519054e-09	-1.686177e-07	9.877417e-08	8.295444e-04
6.250000073038109e-09	-1.899723e-07	1.942346e-07	8.295443e-04
1.250000014607622e-08	-1.485168e-07	3.918338e-07	8.295444e-04
2.500000029215244e-08	-1.255648e-07	7.803527e-07	8.295444e-04
5.000000058430487e-08	-4.493057e-07	1.564067e-06	8.295446e-04
1.000000011686097e-07	-7.232650e-07	3.124826e-06	8.295447e-04
2.000000023372195e-07	-1.611839e-06	6.253008e-06	8.295451e-04
4.000000046744390e-07	-3.079946e-06	1.250270e-05	8.295457e-04
8.000000093488779e-07	-6.313622e-06	2.500866e-05	8.295472e-04
1.600000018697756e-06	-1.247425e-05	5.001334e-05	8.295500e-04
3.200000037395512e-06	-2.510045e-05	1.000248e-04	8.295558e-04
6.400000074791024e-06	-5.003608e-05	2.000052e-04	8.295672e-04
1.128281257479102e-05	-8.830098e-05	3.523981e-04	8.295847e-04
1.616562507479103e-05	-1.262758e-04	5.044532e-04	8.296021e-04
2.104843757479103e-05	-1.643361e-04	6.560364e-04	8.296195e-04
2.593125007479103e-05	-2.020346e-04	8.069962e-04	8.296367e-04
3.081406257479102e-05	-2.397474e-04	9.571994e-04	8.296539e-04
3.569687507479102e-05	-2.770273e-04	1.106496e-03	8.296710e-04
4.057968757479102e-05	-3.142509e-04	1.254753e-03	8.296880e-04
4.546250007479102e-05	-3.509717e-04	1.401824e-03	8.297048e-04
5.034531257479102e-05	-3.875665e-04	1.547578e-03	8.297215e-04
5.522812507479101e-05	-4.235894e-04	1.691870e-03	8.297380e-04
6.011093757479101e-05	-4.594180e-04	1.834572e-03	8.297543e-04
